sample_id	run_id	depth_category	metric_name	metric	category	count	status
ERR10619203	run_2026_05_30_071639	q3	counts_by_validation_required__False	validation_required	False	650370	source_metric_present
ERR10619203	run_2026_05_30_071639	q3	counts_by_validation_required__True	validation_required	True	24223	source_metric_present
ERR10619203	run_2026_05_30_071639	q3	counts_by_validation_priority__high	validation_priority	high	2	source_metric_present
ERR10619203	run_2026_05_30_071639	q3	counts_by_validation_priority__low	validation_priority	low	650370	source_metric_present
ERR10619203	run_2026_05_30_071639	q3	counts_by_validation_priority__medium	validation_priority	medium	24221	source_metric_present
ERR10619203	run_2026_05_30_071639	q3	counts_by_suggested_validation_method__IGV	suggested_validation_method	IGV	24223	source_metric_present
ERR10619203	run_2026_05_30_071639	q3	counts_by_suggested_validation_method__none	suggested_validation_method	none	650370	source_metric_present
ERR10619207	run_2026_06_01_124134	q3	counts_by_validation_required__False	validation_required	False	654771	source_metric_present
ERR10619207	run_2026_06_01_124134	q3	counts_by_validation_required__True	validation_required	True	23608	source_metric_present
ERR10619207	run_2026_06_01_124134	q3	counts_by_validation_priority__high	validation_priority	high	1	source_metric_present
ERR10619207	run_2026_06_01_124134	q3	counts_by_validation_priority__low	validation_priority	low	654771	source_metric_present
ERR10619207	run_2026_06_01_124134	q3	counts_by_validation_priority__medium	validation_priority	medium	23607	source_metric_present
ERR10619207	run_2026_06_01_124134	q3	counts_by_suggested_validation_method__IGV	suggested_validation_method	IGV	23608	source_metric_present
ERR10619207	run_2026_06_01_124134	q3	counts_by_suggested_validation_method__none	suggested_validation_method	none	654771	source_metric_present
ERR10619208	run_2026_05_30_151355	median	counts_by_validation_required__False	validation_required	False	818259	source_metric_present
ERR10619208	run_2026_05_30_151355	median	counts_by_validation_required__True	validation_required	True	31140	source_metric_present
ERR10619208	run_2026_05_30_151355	median	counts_by_validation_priority__high	validation_priority	high	1	source_metric_present
ERR10619208	run_2026_05_30_151355	median	counts_by_validation_priority__low	validation_priority	low	818259	source_metric_present
ERR10619208	run_2026_05_30_151355	median	counts_by_validation_priority__medium	validation_priority	medium	31139	source_metric_present
ERR10619208	run_2026_05_30_151355	median	counts_by_suggested_validation_method__IGV	suggested_validation_method	IGV	31140	source_metric_present
ERR10619208	run_2026_05_30_151355	median	counts_by_suggested_validation_method__none	suggested_validation_method	none	818259	source_metric_present
ERR10619212	run_2026_05_30_214724	q1	counts_by_validation_required__False	validation_required	False	873517	source_metric_present
ERR10619212	run_2026_05_30_214724	q1	counts_by_validation_required__True	validation_required	True	32000	source_metric_present
ERR10619212	run_2026_05_30_214724	q1	counts_by_validation_priority__high	validation_priority	high	1	source_metric_present
ERR10619212	run_2026_05_30_214724	q1	counts_by_validation_priority__low	validation_priority	low	873517	source_metric_present
ERR10619212	run_2026_05_30_214724	q1	counts_by_validation_priority__medium	validation_priority	medium	31999	source_metric_present
ERR10619212	run_2026_05_30_214724	q1	counts_by_suggested_validation_method__IGV	suggested_validation_method	IGV	32000	source_metric_present
ERR10619212	run_2026_05_30_214724	q1	counts_by_suggested_validation_method__none	suggested_validation_method	none	873517	source_metric_present
