sample_id	run_id	depth_category	input_path	input_exists	metrics_path	metrics_exists	rows_scanned	coding_rows_scanned	eligible_gene_id_rows	overlay_genes_total	overlay_genes_with_variants	overlay_genes_zero_count	output_rows_written	status	epi25_unique_gene_ids	mitocarta_unique_gene_ids	master_overlay_gene_count
ERR10619203	run_2026_05_30_071639	q3	results/run_2026_05_30_071639/processed/stage_12_validation_candidates.tsv	True	results/run_2026_05_30_071639/metrics/stage_metrics_long.tsv	True	674593	26271	26271	1140	438	702	1140	ok	7	1133	1140
ERR10619207	run_2026_06_01_124134	q3	results/run_2026_06_01_124134/processed/stage_12_validation_candidates.tsv	True	results/run_2026_06_01_124134/metrics/stage_metrics_long.tsv	True	678379	26555	26555	1140	443	697	1140	ok	7	1133	1140
ERR10619208	run_2026_05_30_151355	median	results/run_2026_05_30_151355/processed/stage_12_validation_candidates.tsv	True	results/run_2026_05_30_151355/metrics/stage_metrics_long.tsv	True	849399	28041	28041	1140	459	681	1140	ok	7	1133	1140
ERR10619212	run_2026_05_30_214724	q1	results/run_2026_05_30_214724/processed/stage_12_validation_candidates.tsv	True	results/run_2026_05_30_214724/metrics/stage_metrics_long.tsv	True	905517	27149	27149	1140	434	706	1140	ok	7	1133	1140
ERR10619225	run_2026_05_31_091242	q3	results/run_2026_05_31_091242/processed/stage_12_validation_candidates.tsv	True	results/run_2026_05_31_091242/metrics/stage_metrics_long.tsv	True	757635	27820	27820	1140	455	685	1140	ok	7	1133	1140
ERR10619230	run_2026_06_01_004903	q3	results/run_2026_06_01_004903/processed/stage_12_validation_candidates.tsv	True	results/run_2026_06_01_004903/metrics/stage_metrics_long.tsv	True	681054	26948	26948	1140	445	695	1140	ok	7	1133	1140
ERR10619241	run_2026_06_02_052302	q1	results/run_2026_06_02_052302/processed/stage_12_validation_candidates.tsv	True	results/run_2026_06_02_052302/metrics/stage_metrics_long.tsv	True	909698	26104	26104	1140	432	708	1140	ok	7	1133	1140
ERR10619281	run_2026_05_27_233524	median	results/run_2026_05_27_233524/processed/stage_12_validation_candidates.tsv	True	results/run_2026_05_27_233524/metrics/stage_metrics_long.tsv	True	811554	27869	27869	1140	462	678	1140	ok	7	1133	1140
ERR10619285	run_2026_06_02_124300	median	results/run_2026_06_02_124300/processed/stage_12_validation_candidates.tsv	True	results/run_2026_06_02_124300/metrics/stage_metrics_long.tsv	True	795059	26922	26922	1140	448	692	1140	ok	7	1133	1140
ERR10619300	run_2026_05_27_172531	median	results/run_2026_05_27_172531/processed/stage_12_validation_candidates.tsv	True	results/run_2026_05_27_172531/metrics/stage_metrics_long.tsv	True	736468	26439	26439	1140	424	716	1140	ok	7	1133	1140
ERR10619309	run_2026_06_02_181024	q1	results/run_2026_06_02_181024/processed/stage_12_validation_candidates.tsv	True	results/run_2026_06_02_181024/metrics/stage_metrics_long.tsv	True	879401	26448	26448	1140	441	699	1140	ok	7	1133	1140
ERR10619330	run_2026_06_01_203130	q1	results/run_2026_06_01_203130/processed/stage_12_validation_candidates.tsv	True	results/run_2026_06_01_203130/metrics/stage_metrics_long.tsv	True	963426	27131	27131	1140	434	706	1140	ok	7	1133	1140
SRR12898354	run_2026_06_03_010030	hg002	results/run_2026_06_03_010030/processed/stage_12_validation_candidates.tsv	True	results/run_2026_06_03_010030/metrics/stage_metrics_long.tsv	True	4636584	27486	27486	1140	435	705	1140	ok	7	1133	1140
