sample_id	run_id	summary_axis	interpretation_label	count	status
ERR10619300	run_2026_05_27_172531	source_interpretation_label	coding_common_or_low_support	24855	source_metric_present
ERR10619300	run_2026_05_27_172531	source_interpretation_label	coding_uninterpretable	432	source_metric_present
ERR10619300	run_2026_05_27_172531	source_interpretation_label	lof_or_missense_rare	1148	source_metric_present
ERR10619300	run_2026_05_27_172531	source_interpretation_label	lof_rare_clinically_supported	4	source_metric_present
ERR10619300	run_2026_05_27_172531	source_interpretation_label	noncoding_common_or_low_support	556082	source_metric_present
ERR10619300	run_2026_05_27_172531	source_interpretation_label	noncoding_uninterpretable	127903	source_metric_present
ERR10619300	run_2026_05_27_172531	source_interpretation_label	regulatory_or_transcript_rare	26044	source_metric_present
ERR10619300	run_2026_05_27_172531	variant_origin	coding	26439	source_metric_present
ERR10619300	run_2026_05_27_172531	variant_origin	noncoding	710029	source_metric_present
ERR10619281	run_2026_05_27_233524	source_interpretation_label	coding_common_or_low_support	26236	source_metric_present
ERR10619281	run_2026_05_27_233524	source_interpretation_label	coding_uninterpretable	441	source_metric_present
ERR10619281	run_2026_05_27_233524	source_interpretation_label	lof_or_missense_rare	1191	source_metric_present
ERR10619281	run_2026_05_27_233524	source_interpretation_label	lof_rare_clinically_supported	1	source_metric_present
ERR10619281	run_2026_05_27_233524	source_interpretation_label	noncoding_common_or_low_support	610184	source_metric_present
ERR10619281	run_2026_05_27_233524	source_interpretation_label	noncoding_uninterpretable	141412	source_metric_present
ERR10619281	run_2026_05_27_233524	source_interpretation_label	regulatory_or_transcript_rare	32089	source_metric_present
ERR10619281	run_2026_05_27_233524	variant_origin	coding	27869	source_metric_present
ERR10619281	run_2026_05_27_233524	variant_origin	noncoding	783685	source_metric_present
ERR10619203	run_2026_05_30_071639	source_interpretation_label	coding_common_or_low_support	24735	source_metric_present
ERR10619203	run_2026_05_30_071639	source_interpretation_label	coding_uninterpretable	450	source_metric_present
ERR10619203	run_2026_05_30_071639	source_interpretation_label	lof_or_missense_rare	1084	source_metric_present
ERR10619203	run_2026_05_30_071639	source_interpretation_label	lof_rare_clinically_supported	2	source_metric_present
ERR10619203	run_2026_05_30_071639	source_interpretation_label	noncoding_common_or_low_support	512578	source_metric_present
ERR10619203	run_2026_05_30_071639	source_interpretation_label	noncoding_uninterpretable	112607	source_metric_present
ERR10619203	run_2026_05_30_071639	source_interpretation_label	regulatory_or_transcript_rare	23137	source_metric_present
ERR10619203	run_2026_05_30_071639	variant_origin	coding	26271	source_metric_present
ERR10619203	run_2026_05_30_071639	variant_origin	noncoding	648322	source_metric_present
ERR10619208	run_2026_05_30_151355	source_interpretation_label	coding_common_or_low_support	26297	source_metric_present
ERR10619208	run_2026_05_30_151355	source_interpretation_label	coding_uninterpretable	471	source_metric_present
ERR10619208	run_2026_05_30_151355	source_interpretation_label	lof_or_missense_rare	1272	source_metric_present
ERR10619208	run_2026_05_30_151355	source_interpretation_label	lof_rare_clinically_supported	1	source_metric_present
ERR10619208	run_2026_05_30_151355	source_interpretation_label	noncoding_common_or_low_support	642368	source_metric_present
ERR10619208	run_2026_05_30_151355	source_interpretation_label	noncoding_uninterpretable	149123	source_metric_present
ERR10619208	run_2026_05_30_151355	source_interpretation_label	regulatory_or_transcript_rare	29867	source_metric_present
ERR10619208	run_2026_05_30_151355	variant_origin	coding	28041	source_metric_present
ERR10619208	run_2026_05_30_151355	variant_origin	noncoding	821358	source_metric_present
ERR10619212	run_2026_05_30_214724	source_interpretation_label	coding_common_or_low_support	25500	source_metric_present
ERR10619212	run_2026_05_30_214724	source_interpretation_label	coding_uninterpretable	507	source_metric_present
ERR10619212	run_2026_05_30_214724	source_interpretation_label	lof_or_missense_rare	1141	source_metric_present
ERR10619212	run_2026_05_30_214724	source_interpretation_label	lof_rare_clinically_supported	1	source_metric_present
ERR10619212	run_2026_05_30_214724	source_interpretation_label	noncoding_common_or_low_support	690908	source_metric_present
ERR10619212	run_2026_05_30_214724	source_interpretation_label	noncoding_uninterpretable	156602	source_metric_present
ERR10619212	run_2026_05_30_214724	source_interpretation_label	regulatory_or_transcript_rare	30858	source_metric_present
ERR10619212	run_2026_05_30_214724	variant_origin	coding	27149	source_metric_present
