sample_id	run_id	priority_tier	count	status
ERR10619300	run_2026_05_27_172531	tier_1_high_confidence_candidate	4	source_metric_present
ERR10619300	run_2026_05_27_172531	tier_2_moderate_candidate	27192	source_metric_present
ERR10619300	run_2026_05_27_172531	tier_3_low_support_or_common	580937	source_metric_present
ERR10619300	run_2026_05_27_172531	tier_4_uninterpretable_or_qc_limited	128335	source_metric_present
ERR10619281	run_2026_05_27_233524	tier_1_high_confidence_candidate	1	source_metric_present
ERR10619281	run_2026_05_27_233524	tier_2_moderate_candidate	33280	source_metric_present
ERR10619281	run_2026_05_27_233524	tier_3_low_support_or_common	636420	source_metric_present
ERR10619281	run_2026_05_27_233524	tier_4_uninterpretable_or_qc_limited	141853	source_metric_present
ERR10619203	run_2026_05_30_071639	tier_1_high_confidence_candidate	2	source_metric_present
ERR10619203	run_2026_05_30_071639	tier_2_moderate_candidate	24221	source_metric_present
ERR10619203	run_2026_05_30_071639	tier_3_low_support_or_common	537313	source_metric_present
ERR10619203	run_2026_05_30_071639	tier_4_uninterpretable_or_qc_limited	113057	source_metric_present
ERR10619208	run_2026_05_30_151355	tier_1_high_confidence_candidate	1	source_metric_present
ERR10619208	run_2026_05_30_151355	tier_2_moderate_candidate	31139	source_metric_present
ERR10619208	run_2026_05_30_151355	tier_3_low_support_or_common	668665	source_metric_present
ERR10619208	run_2026_05_30_151355	tier_4_uninterpretable_or_qc_limited	149594	source_metric_present
ERR10619212	run_2026_05_30_214724	tier_1_high_confidence_candidate	1	source_metric_present
ERR10619212	run_2026_05_30_214724	tier_2_moderate_candidate	31999	source_metric_present
ERR10619212	run_2026_05_30_214724	tier_3_low_support_or_common	716408	source_metric_present
ERR10619212	run_2026_05_30_214724	tier_4_uninterpretable_or_qc_limited	157109	source_metric_present
ERR10619225	run_2026_05_31_091242	tier_1_high_confidence_candidate	2	source_metric_present
ERR10619225	run_2026_05_31_091242	tier_2_moderate_candidate	26615	source_metric_present
ERR10619225	run_2026_05_31_091242	tier_3_low_support_or_common	603354	source_metric_present
ERR10619225	run_2026_05_31_091242	tier_4_uninterpretable_or_qc_limited	127664	source_metric_present
ERR10619230	run_2026_06_01_004903	tier_1_high_confidence_candidate	3	source_metric_present
ERR10619230	run_2026_06_01_004903	tier_2_moderate_candidate	25280	source_metric_present
ERR10619230	run_2026_06_01_004903	tier_3_low_support_or_common	538635	source_metric_present
ERR10619230	run_2026_06_01_004903	tier_4_uninterpretable_or_qc_limited	117136	source_metric_present
ERR10619207	run_2026_06_01_124134	tier_1_high_confidence_candidate	1	source_metric_present
ERR10619207	run_2026_06_01_124134	tier_2_moderate_candidate	23607	source_metric_present
ERR10619207	run_2026_06_01_124134	tier_3_low_support_or_common	538990	source_metric_present
ERR10619207	run_2026_06_01_124134	tier_4_uninterpretable_or_qc_limited	115781	source_metric_present
ERR10619330	run_2026_06_01_203130	tier_1_high_confidence_candidate	2	source_metric_present
ERR10619330	run_2026_06_01_203130	tier_2_moderate_candidate	34748	source_metric_present
ERR10619330	run_2026_06_01_203130	tier_3_low_support_or_common	751230	source_metric_present
ERR10619330	run_2026_06_01_203130	tier_4_uninterpretable_or_qc_limited	177446	source_metric_present
ERR10619241	run_2026_06_02_052302	tier_1_high_confidence_candidate	2	source_metric_present
ERR10619241	run_2026_06_02_052302	tier_2_moderate_candidate	34365	source_metric_present
ERR10619241	run_2026_06_02_052302	tier_3_low_support_or_common	713052	source_metric_present
ERR10619241	run_2026_06_02_052302	tier_4_uninterpretable_or_qc_limited	162279	source_metric_present
ERR10619285	run_2026_06_02_124300	tier_1_high_confidence_candidate	1	source_metric_present
ERR10619285	run_2026_06_02_124300	tier_2_moderate_candidate	29268	source_metric_present
ERR10619285	run_2026_06_02_124300	tier_3_low_support_or_common	627751	source_metric_present
ERR10619285	run_2026_06_02_124300	tier_4_uninterpretable_or_qc_limited	138039	source_metric_present
ERR10619309	run_2026_06_02_181024	tier_1_high_confidence_candidate	2	source_metric_present
ERR10619309	run_2026_06_02_181024	tier_2_moderate_candidate	32218	source_metric_present
ERR10619309	run_2026_06_02_181024	tier_3_low_support_or_common	687817	source_metric_present
ERR10619309	run_2026_06_02_181024	tier_4_uninterpretable_or_qc_limited	159364	source_metric_present
HG002	run_2026_06_03_010030	tier_1_high_confidence_candidate	0	source_metric_absent_filled_zero
HG002	run_2026_06_03_010030	tier_2_moderate_candidate	113363	source_metric_present
HG002	run_2026_06_03_010030	tier_3_low_support_or_common	3369755	source_metric_present
HG002	run_2026_06_03_010030	tier_4_uninterpretable_or_qc_limited	1153466	source_metric_present
