clinvar_significance	count
NA	873884
benign	32705
benign&likely_benign	770
likely_benign	770
uncertain_significance	247
likely_benign&benign	129
uncertain_significance&benign	99
benign/likely_benign&benign	93
benign&benign/likely_benign	92
uncertain_significance&benign&likely_benign	72
not_provided	49
benign&likely_benign&benign/likely_benign	42
drug_response	42
benign/likely_benign&likely_benign&benign	38
likely_benign&benign&benign/likely_benign	34
association	33
benign/likely_benign&benign&likely_benign	31
benign&uncertain_significance	29
benign/likely_benign&likely_benign	29
likely_benign&benign/likely_benign&benign	28
benign/likely_benign	27
likely_benign&benign/likely_benign	26
risk_factor&benign	23
uncertain_significance&likely_benign	21
benign&benign/likely_benign&likely_benign	20
benign&not_provided	20
risk_factor	20
not_provided&benign	19
benign&risk_factor	17
benign&conflicting_classifications_of_pathogenicity	14
benign&drug_response	14
likely_benign&uncertain_significance	12
benign&association	10
other	10
benign&likely_pathogenic	9
conflicting_classifications_of_pathogenicity&benign	9
benign&other	8
benign&pathogenic	8
other&benign	8
uncertain_significance&conflicting_classifications_of_pathogenicity	8
conflicting_classifications_of_pathogenicity	7
conflicting_classifications_of_pathogenicity&uncertain_significance	7
association&benign	5
likely_benign&uncertain_significance&benign	5
pathogenic	5
pathogenic&benign	5
drug_response&benign	4
not_provided&benign&likely_benign	4
protective	4
affects	3
likely_benign&conflicting_classifications_of_pathogenicity&uncertain_significance	3
likely_pathogenic	3
benign&likely_benign&uncertain_significance	2
benign&likely_benign&uncertain_significance&benign/likely_benign	2
benign&protective	2
benign/likely_benign&likely_benign&uncertain_significance	2
confers_sensitivity	2
conflicting_classifications_of_pathogenicity&benign&benign/likely_benign	2
conflicting_classifications_of_pathogenicity&likely_benign&uncertain_significance	2
likely_benign&conflicting_classifications_of_pathogenicity	2
likely_benign&uncertain_significance&benign/likely_benign&benign	2
likely_pathogenic&benign	2
likely_risk_allele	2
pathogenic&risk_factor	2
risk_factor&benign&likely_benign	2
uncertain_risk_allele	2
uncertain_significance&benign&conflicting_classifications_of_pathogenicity	2
uncertain_significance&likely_benign&conflicting_classifications_of_pathogenicity	2
uncertain_significance&not_provided&benign&likely_benign	2
affects&benign	1
association&affects	1
association&affects&benign&other	1
association&drug_response&risk_factor	1
association&pathogenic&protective	1
benign&association&benign/likely_benign	1
benign&confers_sensitivity	1
benign&confers_sensitivity&association	1
benign&conflicting_classifications_of_pathogenicity&likely_benign	1
benign&conflicting_classifications_of_pathogenicity&likely_benign&uncertain_significance	1
benign&drug_response&likely_benign&pathogenic	1
benign&drug_response&risk_factor&likely_benign	1
benign&likely_benign&conflicting_classifications_of_pathogenicity	1
benign&likely_benign&pathogenic	1
benign&likely_pathogenic&likely_risk_allele	1
benign&other&benign/likely_benign	1
benign&pathogenic&likely_benign	1
benign&pathogenic&risk_factor	1
benign&protective&risk_factor	1
benign&protective&uncertain_risk_allele	1
benign&uncertain_risk_allele	1
benign&uncertain_significance&conflicting_classifications_of_pathogenicity	1
benign/likely_benign&benign&association&likely_benign	1
benign/likely_benign&benign&conflicting_classifications_of_pathogenicity&likely_benign	1
benign/likely_benign&likely_benign&benign&uncertain_significance	1
benign/likely_benign&likely_benign&conflicting_classifications_of_pathogenicity	1
benign/likely_benign&not_provided	1
benign/likely_benign&uncertain_significance&benign	1
conflicting_classifications_of_pathogenicity&benign&not_provided&risk_factor	1
conflicting_classifications_of_pathogenicity&benign&uncertain_significance	1
conflicting_classifications_of_pathogenicity&benign/likely_benign	1
conflicting_classifications_of_pathogenicity&likely_benign	1
conflicting_classifications_of_pathogenicity&likely_benign&benign	1
conflicting_classifications_of_pathogenicity&likely_benign&benign/likely_benign	1
conflicting_classifications_of_pathogenicity&protective&benign	1
conflicting_classifications_of_pathogenicity&uncertain_significance&benign	1
conflicting_classifications_of_pathogenicity&uncertain_significance&likely_benign	1
drug_response&association&benign	1
drug_response&benign&likely_benign	1
drug_response&benign&pathogenic	1
drug_response&likely_benign&benign	1
drug_response&uncertain_significance	1
likely_benign&benign&conflicting_classifications_of_pathogenicity&benign/likely_benign	1
likely_benign&benign&drug_response	1
likely_benign&benign&pathogenic	1
likely_benign&benign&uncertain_significance	1
likely_benign&benign/likely_benign&benign&drug_response	1
likely_benign&benign/likely_benign&conflicting_classifications_of_pathogenicity	1
likely_benign&conflicting_classifications_of_pathogenicity&benign&benign/likely_benign	1
likely_benign&conflicting_classifications_of_pathogenicity&benign&uncertain_significance&pathogenic	1
likely_benign&conflicting_classifications_of_pathogenicity&pathogenic&uncertain_significance	1
likely_benign&drug_response	1
likely_benign&not_provided&benign	1
likely_benign&uncertain_significance&conflicting_classifications_of_pathogenicity	1
likely_risk_allele&benign	1
not_provided&association_not_found	1
not_provided&pathogenic	1
not_provided&uncertain_significance&likely_benign&benign&benign/likely_benign	1
other&confers_sensitivity	1
other&conflicting_classifications_of_pathogenicity	1
other&risk_factor	1
pathogenic&benign&affects	1
pathogenic&benign/likely_benign	1
pathogenic&drug_response&benign&likely_benign	1
pathogenic&likely_benign&benign&benign/likely_benign	1
pathogenic&pathogenic/established_risk_allele&not_provided&uncertain_significance&likely_pathogenic&drug_response&association&risk_factor&conflicting_classifications_of_pathogenicity	1
pathogenic&protective&risk_factor	1
pathogenic&risk_factor&benign	1
pathogenic&uncertain_significance&benign	1
pathogenic/likely_pathogenic	1
pathogenic/likely_pathogenic&pathogenic	1
protective&benign	1
risk_factor&benign&association	1
risk_factor&benign&benign/likely_benign	1
risk_factor&benign&drug_response	1
risk_factor&benign&drug_response&uncertain_significance	1
uncertain_significance&benign&benign/likely_benign&likely_benign	1
uncertain_significance&benign&likely_benign&likely_pathogenic	1
uncertain_significance&benign&pathogenic	1
uncertain_significance&benign/likely_benign	1
uncertain_significance&benign/likely_benign&benign&likely_benign	1
uncertain_significance&benign/likely_benign&likely_benign&benign	1
uncertain_significance&conflicting_classifications_of_pathogenicity&pathogenic&likely_benign&benign	1
uncertain_significance&drug_response&benign&likely_benign&conflicting_classifications_of_pathogenicity	1
uncertain_significance&drug_response&risk_factor	1
uncertain_significance&likely_benign&benign	1
uncertain_significance&likely_benign&benign/likely_benign	1
uncertain_significance&likely_pathogenic	1
uncertain_significance&protective&likely_risk_allele&benign	1
uncertain_significance&risk_factor&drug_response&affects	1
