consequence	count
intron_variant	347497
intron_variant&non_coding_transcript_variant	155288
intergenic_variant	128568
upstream_gene_variant	62977
downstream_gene_variant	54938
non_coding_transcript_exon_variant	17021
synonymous_variant	12274
missense_variant	11692
3_prime_UTR_variant	9707
5_prime_UTR_variant	3114
splice_polypyrimidine_tract_variant&intron_variant	2405
splice_region_variant&splice_polypyrimidine_tract_variant&intron_variant	1448
intron_variant&NMD_transcript_variant	1201
splice_region_variant&intron_variant	496
splice_donor_region_variant&intron_variant	406
splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	285
splice_region_variant&synonymous_variant	273
missense_variant&splice_region_variant	260
inframe_deletion	237
frameshift_variant	228
splice_region_variant&splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	218
inframe_insertion	179
splice_region_variant&non_coding_transcript_exon_variant	173
splice_donor_5th_base_variant&intron_variant	103
splice_donor_region_variant&intron_variant&non_coding_transcript_variant	95
stop_gained	75
splice_region_variant&intron_variant&non_coding_transcript_variant	55
splice_donor_variant&non_coding_transcript_variant	49
splice_donor_variant	29
splice_acceptor_variant&non_coding_transcript_variant	28
splice_region_variant&5_prime_UTR_variant	28
splice_donor_5th_base_variant&intron_variant&non_coding_transcript_variant	27
3_prime_UTR_variant&NMD_transcript_variant	26
splice_acceptor_variant	25
stop_lost	24
stop_retained_variant	12
start_lost	10
splice_region_variant&3_prime_UTR_variant	8
mature_miRNA_variant	7
frameshift_variant&splice_region_variant	5
splice_acceptor_variant&splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	5
splice_donor_variant&splice_donor_5th_base_variant&coding_sequence_variant&intron_variant	4
splice_region_variant&non_coding_transcript_variant	4
frameshift_variant&splice_donor_region_variant	3
frameshift_variant&start_lost&start_retained_variant	3
frameshift_variant&stop_lost	3
inframe_insertion&stop_retained_variant	3
stop_gained&frameshift_variant	3
5_prime_UTR_variant&NMD_transcript_variant	2
coding_sequence_variant	2
missense_variant&NMD_transcript_variant	2
splice_acceptor_variant&splice_donor_variant&splice_donor_5th_base_variant&splice_polypyrimidine_tract_variant&intron_variant	2
splice_donor_variant&splice_donor_region_variant&intron_variant	2
splice_donor_variant&splice_donor_region_variant&non_coding_transcript_exon_variant&intron_variant	2
start_lost&splice_region_variant	2
start_lost&start_retained_variant	2
frameshift_variant&stop_lost&splice_region_variant	1
incomplete_terminal_codon_variant&coding_sequence_variant	1
inframe_deletion&splice_region_variant	1
inframe_insertion&splice_region_variant	1
protein_altering_variant	1
splice_acceptor_variant&coding_sequence_variant&intron_variant	1
splice_acceptor_variant&frameshift_variant	1
splice_donor_region_variant&intron_variant&NMD_transcript_variant	1
splice_donor_variant&splice_donor_5th_base_variant&intron_variant	1
splice_donor_variant&splice_donor_region_variant&intron_variant&non_coding_transcript_variant	1
splice_donor_variant&stop_gained&frameshift_variant	1
splice_polypyrimidine_tract_variant&intron_variant&NMD_transcript_variant	1
splice_region_variant&intron_variant&NMD_transcript_variant	1
splice_region_variant&splice_polypyrimidine_tract_variant&intron_variant&NMD_transcript_variant	1
start_lost&start_retained_variant&5_prime_UTR_variant	1
stop_gained&splice_region_variant	1
stop_lost&3_prime_UTR_variant	1
stop_lost&splice_region_variant	1
stop_retained_variant&3_prime_UTR_variant	1
