clinical_significance	count
NA	843830
benign	32565
likely_benign	778
benign&likely_benign	772
uncertain_significance	206
likely_benign&benign	138
benign/likely_benign&benign	102
benign&benign/likely_benign	95
uncertain_significance&benign	79
uncertain_significance&benign&likely_benign	73
not_provided	38
drug_response	34
benign/likely_benign&likely_benign	32
benign/likely_benign&likely_benign&benign	29
benign&benign/likely_benign&likely_benign	28
benign&uncertain_significance	26
benign/likely_benign&benign&likely_benign	26
likely_benign&benign&benign/likely_benign	26
association	24
benign&likely_benign&benign/likely_benign	24
benign&not_provided	24
likely_benign&benign/likely_benign	24
likely_benign&benign/likely_benign&benign	23
risk_factor&benign	23
uncertain_significance&likely_benign	22
benign/likely_benign	20
not_provided&benign	17
risk_factor	17
benign&risk_factor	14
likely_benign&uncertain_significance	13
benign&drug_response	12
conflicting_classifications_of_pathogenicity&benign	12
benign&conflicting_classifications_of_pathogenicity	11
other	10
benign&likely_pathogenic	9
benign&association	8
association&benign	7
other&benign	7
affects	6
benign&other	6
likely_benign&conflicting_classifications_of_pathogenicity	6
protective	6
uncertain_significance&conflicting_classifications_of_pathogenicity	6
affects&benign	5
benign&pathogenic	5
conflicting_classifications_of_pathogenicity	5
pathogenic&benign	5
conflicting_classifications_of_pathogenicity&likely_benign	4
benign&protective	3
drug_response&benign	3
not_provided&benign&likely_benign	3
uncertain_risk_allele	3
uncertain_significance&conflicting_classifications_of_pathogenicity&likely_benign	3
uncertain_significance&likely_benign&benign	3
benign&likely_benign&uncertain_significance	2
benign&uncertain_significance&benign/likely_benign	2
benign&uncertain_significance&likely_benign	2
benign/likely_benign&uncertain_significance&benign	2
confers_sensitivity	2
conflicting_classifications_of_pathogenicity&benign&likely_benign	2
conflicting_classifications_of_pathogenicity&likely_benign&benign	2
conflicting_classifications_of_pathogenicity&likely_benign&uncertain_significance	2
conflicting_classifications_of_pathogenicity&uncertain_significance	2
conflicting_classifications_of_pathogenicity&uncertain_significance&benign	2
likely_benign&conflicting_classifications_of_pathogenicity&benign	2
likely_benign&drug_response	2
likely_benign&uncertain_significance&benign	2
likely_pathogenic&benign	2
likely_risk_allele	2
likely_risk_allele&benign	2
not_provided&likely_benign	2
uncertain_significance&benign/likely_benign&likely_benign&benign	2
uncertain_significance&not_provided&benign&likely_benign	2
association&affects&benign	1
association&affects&benign&other	1
association&drug_response&risk_factor	1
association&pathogenic&protective	1
association&uncertain_significance	1
benign&association&benign/likely_benign	1
benign&confers_sensitivity	1
benign&confers_sensitivity&association	1
benign&conflicting_classifications_of_pathogenicity&risk_factor	1
benign&drug_response&likely_benign&pathogenic	1
benign&drug_response&risk_factor&likely_benign	1
benign&likely_benign&affects	1
benign&likely_benign&risk_factor	1
benign&likely_benign&uncertain_significance&benign/likely_benign	1
benign&likely_pathogenic&likely_risk_allele	1
benign&likely_risk_allele	1
benign&pathogenic&risk_factor	1
benign&protective&uncertain_risk_allele	1
benign&risk_factor&likely_benign&uncertain_significance	1
benign&uncertain_significance&pathogenic&risk_factor&likely_benign&benign/likely_benign	1
benign/likely_benign&benign&association&likely_benign	1
benign/likely_benign&benign&likely_benign&pathogenic	1
benign/likely_benign&benign&likely_pathogenic	1
benign/likely_benign&drug_response&benign&conflicting_classifications_of_pathogenicity	1
benign/likely_benign&likely_benign&benign&protective	1
benign/likely_benign&uncertain_significance&benign&likely_benign	1
benign/likely_benign&uncertain_significance&conflicting_classifications_of_pathogenicity&likely_benign	1
confers_sensitivity&benign	1
conflicting_classifications_of_pathogenicity&benign&benign/likely_benign	1
conflicting_classifications_of_pathogenicity&likely_benign&benign&uncertain_significance	1
conflicting_classifications_of_pathogenicity&risk_factor&benign	1
conflicting_classifications_of_pathogenicity&uncertain_significance&likely_benign	1
drug_response&association&benign	1
drug_response&benign&likely_benign	1
drug_response&benign&pathogenic	1
drug_response&benign&uncertain_risk_allele	1
drug_response&conflicting_classifications_of_pathogenicity&benign	1
drug_response&likely_benign&benign	1
likely_benign&benign&conflicting_classifications_of_pathogenicity	1
likely_benign&benign&drug_response	1
likely_benign&benign&likely_pathogenic&benign/likely_benign	1
likely_benign&benign&pathogenic	1
likely_benign&benign&uncertain_significance&benign/likely_benign	1
likely_benign&benign/likely_benign&benign&uncertain_significance	1
likely_benign&benign/likely_benign&uncertain_significance	1
likely_benign&conflicting_classifications_of_pathogenicity&likely_pathogenic&uncertain_significance	1
likely_benign&conflicting_classifications_of_pathogenicity&uncertain_significance	1
likely_benign&not_provided	1
likely_benign&pathogenic&benign	1
likely_pathogenic	1
likely_pathogenic&conflicting_classifications_of_pathogenicity&uncertain_significance	1
likely_pathogenic&drug_response&benign&uncertain_significance	1
likely_pathogenic&pathogenic	1
likely_risk_allele&association&benign&uncertain_significance	1
likely_risk_allele&benign&conflicting_classifications_of_pathogenicity	1
not_provided&association_not_found	1
not_provided&pathogenic	1
other&confers_sensitivity	1
other&risk_factor	1
pathogenic	1
pathogenic&benign&affects	1
pathogenic&likely_benign&benign&benign/likely_benign	1
pathogenic&likely_pathogenic&benign	1
pathogenic&pathogenic&_low_penetrance&pathogenic/likely_pathogenic&risk_factor&not_provided	1
pathogenic&protective&risk_factor	1
pathogenic&risk_factor	1
pathogenic&risk_factor&benign	1
pathogenic/likely_pathogenic&pathogenic	1
protective&benign	1
protective&benign&likely_benign&benign/likely_benign	1
protective&pathogenic&benign	1
protective&pathogenic&uncertain_significance&other&likely_benign&drug_response	1
protective&risk_factor	1
risk_factor&affects&benign	1
risk_factor&benign&drug_response	1
risk_factor&benign&drug_response&uncertain_significance	1
risk_factor&benign&likely_benign	1
risk_factor&benign&uncertain_significance	1
risk_factor&conflicting_classifications_of_pathogenicity&uncertain_significance&association&benign/likely_benign&benign	1
risk_factor&likely_benign&benign/likely_benign&benign	1
uncertain_significance&association	1
uncertain_significance&benign&association&likely_risk_allele	1
uncertain_significance&benign&benign/likely_benign	1
uncertain_significance&benign&benign/likely_benign&likely_benign	1
uncertain_significance&benign&likely_benign&likely_pathogenic	1
uncertain_significance&benign&pathogenic	1
uncertain_significance&conflicting_classifications_of_pathogenicity&pathogenic&likely_benign&benign	1
uncertain_significance&drug_response&risk_factor	1
uncertain_significance&likely_benign&conflicting_classifications_of_pathogenicity	1
uncertain_significance&likely_pathogenic	1
uncertain_significance&risk_factor&benign	1
uncertain_significance&risk_factor&drug_response&affects	1
uncertain_significance&risk_factor&likely_benign	1
