sample_id	run_id	assay_type	run_classification	gene_id	gene_symbol	gene_burden_rank	variant_count	overlay_source	overlay_source_count	overlay_source_list	mitocarta_hit	epi25_hit	match_key
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000100150	DEPDC5	628	0	epi25_all_epilepsy	1	epi25_all_epilepsy	False	True	ensembl_gene_id
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000050030	NEXMIF	893	0	epi25_all_epilepsy	1	epi25_all_epilepsy	False	True	ensembl_gene_id
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000103148	NPRL3	908	0	epi25_all_epilepsy	1	epi25_all_epilepsy	False	True	ensembl_gene_id
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000144285	SCN1A	410	1	epi25_all_epilepsy	1	epi25_all_epilepsy	False	True	ensembl_gene_id
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000099365	STX1B	1062	0	epi25_all_epilepsy	1	epi25_all_epilepsy	False	True	ensembl_gene_id
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000197283	SYNGAP1	443	1	epi25_all_epilepsy	1	epi25_all_epilepsy	False	True	ensembl_gene_id
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000196998	WDR45	1135	0	epi25_all_epilepsy	1	epi25_all_epilepsy	False	True	ensembl_gene_id
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000109576	AADAT	205	1	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000124608	AARS2	84	2	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000008311	AASS	460	0	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000183044	ABAT	20	4	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000154258	ABCA9	85	2	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000135776	ABCB10	461	0	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000115657	ABCB6	206	1	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000131269	ABCB7	207	1	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000197150	ABCB8	208	1	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000101986	ABCD1	462	0	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000173208	ABCD2	463	0	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000117528	ABCD3	464	0	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000144827	ABHD10	465	0	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000106077	ABHD11	209	1	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000060971	ACAA1	466	0	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000167315	ACAA2	210	1	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000275176|ENSG00000278540	ACACA	467	0	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000076555	ACACB	4	9	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000111271	ACAD10	468	0	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000240303	ACAD11	44	3	mitocarta	1	mitocarta	True	False	ensembl_gene_id
