functional_impact	frequency_status	is_clinically_supported	n
synonymous	common	False	10795
missense	common	False	10105
splice_relevant	common	False	2150
synonymous	low_frequency	False	483
synonymous	rare	False	425
loss_of_function	common	False	368
other_coding	common	False	315
missense	low_frequency	False	121
missense	rare	False	119
splice_relevant	low_frequency	False	119
splice_relevant	rare	False	92
missense	missing	False	83
other_coding	rare	False	41
synonymous	missing	False	30
other_coding	low_frequency	False	25
missense	common	True	19
loss_of_function	missing	False	15
splice_relevant	missing	False	15
other_coding	missing	False	10
synonymous	common	True	4
loss_of_function	low_frequency	False	2
missense	missing	True	2
loss_of_function	common	True	1
loss_of_function	rare	False	1
