SRA	run_id	depth_category	artifact_group	artifact_name	source_path	destination_path	operation	status	rows_written	notes
ERR10619203	run_2026_05_30_071639	q3	directory	figures		docs/case_studies/cross_runs/contrasts/contrast_02_inputs/ERR10619203/figures	mkdir	ok	NA	directory ensured
ERR10619203	run_2026_05_30_071639	q3	directory	tables		docs/case_studies/cross_runs/contrasts/contrast_02_inputs/ERR10619203/tables	mkdir	ok	NA	directory ensured
ERR10619203	run_2026_05_30_071639	q3	directory	targeted_semantic_buckets		docs/case_studies/cross_runs/contrasts/contrast_02_inputs/ERR10619203/sql_outputs/targeted_semantic_buckets	mkdir	ok	NA	directory ensured
ERR10619203	run_2026_05_30_071639	q3	directory	tiered_gene_outputs		docs/case_studies/cross_runs/contrasts/contrast_02_inputs/ERR10619203/sql_outputs/tiered_gene_outputs	mkdir	ok	NA	directory ensured
ERR10619203	run_2026_05_30_071639	q3	figure	ERR10619203_f5_interoperability_substrates.png	results/run_2026_05_30_071639/figures/ERR10619203_f5_interoperability_substrates.png	docs/case_studies/cross_runs/contrasts/contrast_02_inputs/ERR10619203/figures/ERR10619203_f5_interoperability_substrates.png	copy	ok	NA	copied actual VAP pluralized F5 filename
ERR10619203	run_2026_05_30_071639	q3	table	candidate_reviewability_readiness.tsv	docs/case_studies/cross_runs/cross_run_tables/candidate_reviewability_readiness.tsv	docs/case_studies/cross_runs/contrasts/contrast_02_inputs/ERR10619203/tables/candidate_reviewability_readiness.tsv	subset	ok	7	subset by exact run_id
ERR10619203	run_2026_05_30_071639	q3	table	overlay_gene_coding_clinical_evidence.tsv	docs/case_studies/cross_runs/cross_run_tables/overlay_gene_coding_clinical_evidence.tsv	docs/case_studies/cross_runs/contrasts/contrast_02_inputs/ERR10619203/tables/overlay_gene_coding_clinical_evidence.tsv	subset	ok	481	subset by exact run_id
ERR10619203	run_2026_05_30_071639	q3	table	overlay_gene_coding_frequency_profiles.tsv	docs/case_studies/cross_runs/cross_run_tables/overlay_gene_coding_frequency_profiles.tsv	docs/case_studies/cross_runs/contrasts/contrast_02_inputs/ERR10619203/tables/overlay_gene_coding_frequency_profiles.tsv	subset	ok	484	subset by exact run_id
ERR10619203	run_2026_05_30_071639	q3	table	overlay_gene_coding_functional_impact.tsv	docs/case_studies/cross_runs/cross_run_tables/overlay_gene_coding_functional_impact.tsv	docs/case_studies/cross_runs/contrasts/contrast_02_inputs/ERR10619203/tables/overlay_gene_coding_functional_impact.tsv	subset	ok	594	subset by exact run_id
ERR10619203	run_2026_05_30_071639	q3	table	substrate_dimension_summary.tsv	docs/case_studies/cross_runs/cross_run_tables/substrate_dimension_summary.tsv	docs/case_studies/cross_runs/contrasts/contrast_02_inputs/ERR10619203/tables/substrate_dimension_summary.tsv	subset	ok	1	subset by exact run_id
ERR10619203	run_2026_05_30_071639	q3	table	gene_list_overlay_intersections.tsv	docs/case_studies/cross_runs/cross_run_tables/gene_list_overlay_intersections.tsv	docs/case_studies/cross_runs/contrasts/contrast_02_inputs/ERR10619203/tables/gene_list_overlay_intersections.tsv	subset	ok	1140	subset by exact run_id
ERR10619203	run_2026_05_30_071639	q3	targeted_semantic_buckets	ERR10619203_bucket_1a_validation_routed_epilepsy_mito.tsv	results/run_2026_05_30_071639/logs/stage12_exploration/lane_candidate_slices/ERR10619203_bucket_1a_validation_routed_epilepsy_mito.tsv	docs/case_studies/cross_runs/contrasts/contrast_02_inputs/ERR10619203/sql_outputs/targeted_semantic_buckets/ERR10619203_bucket_1a_validation_routed_epilepsy_mito.tsv	copy	ok	1	copied without renaming; gene_symbol missing values canonicalized to NO_GENE_SYMBOL when present
ERR10619203	run_2026_05_30_071639	q3	targeted_semantic_buckets	ERR10619203_bucket_1b_clinically_contextualized_epilepsy_mito.tsv	results/run_2026_05_30_071639/logs/stage12_exploration/lane_candidate_slices/ERR10619203_bucket_1b_clinically_contextualized_epilepsy_mito.tsv	docs/case_studies/cross_runs/contrasts/contrast_02_inputs/ERR10619203/sql_outputs/targeted_semantic_buckets/ERR10619203_bucket_1b_clinically_contextualized_epilepsy_mito.tsv	copy	ok	4	copied without renaming; gene_symbol missing values canonicalized to NO_GENE_SYMBOL when present
