sample_id	run_id	stage	elapsed_seconds	status	start_time	end_time
ERR10619285	run_2026_06_02_124300	stage_01_load_data	0	success	2026-06-02T12:43:00+00:00	2026-06-02T12:43:00+00:00
ERR10619285	run_2026_06_02_124300	stage_02_align_data	6246	success	2026-06-02T12:43:00+00:00	2026-06-02T14:27:06+00:00
ERR10619285	run_2026_06_02_124300	stage_03_process_bam	309	success	2026-06-02T14:27:06+00:00	2026-06-02T14:32:15+00:00
ERR10619285	run_2026_06_02_124300	stage_04_qc_aligned_reads	52	success	2026-06-02T14:32:15+00:00	2026-06-02T14:33:07+00:00
ERR10619285	run_2026_06_02_124300	stage_05_call_variants	10883	success	2026-06-02T14:33:07+00:00	2026-06-02T17:34:30+00:00
ERR10619285	run_2026_06_02_124300	stage_06_normalize_vcf	20	success	2026-06-02T17:34:30+00:00	2026-06-02T17:34:50+00:00
ERR10619285	run_2026_06_02_124300	stage_07_annotate_variants	1230	success	2026-06-02T17:34:50+00:00	2026-06-02T17:55:20+00:00
ERR10619285	run_2026_06_02_124300	stage_08_filter_and_partition	92	success	2026-06-02T17:55:23+00:00	2026-06-02T17:56:55+00:00
ERR10619285	run_2026_06_02_124300	stage_09_interpret_coding	1	success	2026-06-02T17:57:06+00:00	2026-06-02T17:57:07+00:00
ERR10619285	run_2026_06_02_124300	stage_10_interpret_noncoding	28	success	2026-06-02T17:57:09+00:00	2026-06-02T17:57:37+00:00
ERR10619285	run_2026_06_02_124300	stage_11_prioritize_variants	25	success	2026-06-02T17:58:30+00:00	2026-06-02T17:58:55+00:00
ERR10619285	run_2026_06_02_124300	stage_12_validate_variants	26	success	2026-06-02T17:59:00+00:00	2026-06-02T17:59:26+00:00
ERR10619285	run_2026_06_02_124300	stage_13_write_summary	0	success	2026-06-02T17:59:32+00:00	2026-06-02T17:59:32+00:00
