gene_symbol	n_variants
NA	154488
RBFOX1	1151
CSMD1	1004
PTPRN2	702
MUC3A	625
CNTNAP2	586
Y_RNA	529
PTPRD	506
5_8S_RRNA	490
WWOX	483
CDH13	475
LRP1B	450
SORCS2	447
CTNNA3	440
HLA-DRB1	436
PRKN	430
DPP6	417
DLGAP2	396
KAZN	388
LINC01320	385
SMYD3	385
FRMD4A	380
RHPN2P1	380
DLG2	379
SNX29	374
FHIT	373
MUC16	370
TYW1	366
MACROD2	365
PDZD2	365
SGCZ	361
CNTN4	358
CCSER1	345
GALNT17	340
HLA-DRB5	338
PKD1L2	336
CDH4	335
CASC15	331
CAMTA1	328
MAGI2	328
ULK4	328
SHANK2	326
DLGAP1	325
EYS	325
KIF26B	317
CAMK1D	314
PCDH15	314
RBFOX3	314
FCGBP	312
KMT2C	312
RYR2	312
CNTN5	311
DAB1	311
GALNTL6	309
NRXN3	309
CACNA1A	301
HLA-DQB1	298
TMEM132D	293
DOCK1	291
RPTOR	289
HLA-DQA1	288
MAD1L1	285
COL23A1	281
KSR2	270
NAV2	270
ADARB2	269
SBF2	267
TRAPPC9	267
DPP10	266
KCNIP4	265
LARGE1	261
LINC01667	261
NAALADL2	261
TAFA5	261
MAP2K3	260
ROBO2	259
CEP112	257
ASTN2	256
CUX1	255
TIAM2	255
DSCAM	254
SYNE2	254
RYR3	253
DCC	252
LSAMP	252
FRAS1	251
ZFHX3	251
PTPRG	248
PLCG2	244
NXN	243
KALRN	242
CFAP46	241
PRKG1	241
CTNNA2	240
DOCK3	239
GPC6	239
VAV2	239
SLC39A11	236
SYN3	236
DNAH17	235
CDH23	234
ZNF717	233
GPC5	232
ABR	231
PLCB1	231
FOXN3	230
PSD3	230
GSE1	229
MAGI1	229
ALK	228
GNG7	226
PIEZO2	226
DOCK8	225
GRM7	225
SYNE1	225
DLC1	224
PATJ	224
RAP1GAP2	224
COL26A1	222
HIP1	222
COL4A2	220
KIRREL3	219
THSD4	218
MARCHF1	217
NRXN1-DT	217
RAD51B	217
ANKS1B	216
INSR	216
ANKRD36C	215
CALN1	215
MCPH1	215
MALRD1	214
RUNX1	214
DNAH14	213
SPAG16	213
COL22A1	212
NELL1	212
COL24A1	211
HPSE2	211
SNTG2	211
FRMD4B	209
PRDM16	209
RBMS3	209
TSPEAR	209
ABCC4	207
AUTS2	207
MYO3B	207
CADM2	206
TENM3	206
ADAMTSL1	205
BAGE2	205
EXOC4	205
LINC00960	205
PTPRT	205
AGBL1	204
DUX4L37	204
LRRC4C	204
SDK2	203
ANKRD36	202
DNAH9	202
ENTREP2	202
NKAIN2	202
SORCS1	202
HLA-C	200
NRG1	200
TENM2	200
WDR70	200
ZFPM2	200
UBBP4	199
AGAP1	198
CACNA2D3	198
DNAH12	198
MUC19	198
PDE10A	198
PXDNL	198
STX8	198
CDKAL1	196
EGLN3	195
KCNMA1	195
NTN1	195
DIP2C	194
ZNF385D	194
LINC02055	193
RGS7	193
PDE4D	192
RIMBP2	192
SIPA1L3	192
PPP2R2C	191
TLN2	191
ADGRV1	190
HLA-H	190
TG	190
TYW1B	190
CDH12	189
LINGO2	189
MYO5B	189
HULC	188
CACNA1C	187
ERC2	187
HLA-A	187
KANK1	187
PTPRM	187
THSD7B	187
FRG2C	186
MYO10	186
SEPTIN9	186
ROBO1	185
RPH3AL	185
SDK1	185
CTNND2	184
DYNC2H1	184
GRID1	184
