stage	status	start_time	end_time	elapsed_seconds
stage_01_load_data	success	2026-06-01T20:31:30+00:00	2026-06-01T20:31:30+00:00	0.0
stage_02_align_data	success	2026-06-01T20:31:30+00:00	2026-06-01T22:41:56+00:00	7826.0
stage_03_process_bam	success	2026-06-01T22:41:56+00:00	2026-06-01T22:48:21+00:00	385.0
stage_04_qc_aligned_reads	success	2026-06-01T22:48:21+00:00	2026-06-01T22:49:27+00:00	66.0
stage_05_call_variants	success	2026-06-01T22:49:27+00:00	2026-06-02T02:31:18+00:00	13311.0
stage_06_normalize_vcf	success	2026-06-02T02:31:18+00:00	2026-06-02T02:31:38+00:00	20.0
stage_07_annotate_variants	success	2026-06-02T02:31:38+00:00	2026-06-02T02:55:34+00:00	1436.0
stage_08_filter_and_partition	success	2026-06-02T02:55:38+00:00	2026-06-02T02:57:39+00:00	121.0
stage_09_interpret_coding	success	2026-06-02T02:57:52+00:00	2026-06-02T02:57:53+00:00	1.0
stage_10_interpret_noncoding	success	2026-06-02T02:57:54+00:00	2026-06-02T02:58:30+00:00	36.0
stage_11_prioritize_variants	success	2026-06-02T02:59:34+00:00	2026-06-02T03:00:04+00:00	30.0
stage_12_validate_variants	success	2026-06-02T03:00:11+00:00	2026-06-02T03:00:42+00:00	31.0
stage_13_write_summary	success	2026-06-02T03:00:50+00:00	2026-06-02T03:00:50+00:00	0.0
