gene_symbol	n_variants
KMT2C	17
LAMC3	14
COL4A2	13
DYNC2H1	11
SYNE1	11
ACSF3	10
DNAH14	10
HCN2	10
MCPH1	10
PIGN	10
SLC25A5	10
LSS	9
RYR3	9
SCN10A	9
ACACB	8
ASPM	8
ECHDC3	8
LARS2	8
PCDH12	8
ALDH1L1	7
ATP13A2	7
CHRNA4	7
GALC	7
HERC2	7
MACF1	7
NSD1	7
SON	7
VARS2	7
ABCA2	6
ADCY10	6
CELSR1	6
COG6	6
DHTKD1	6
DMXL2	6
EP400	6
GRIN2B	6
MCM3AP	6
MTCH2	6
MTNAP1	6
MTOR	6
PDPR	6
PEX6	6
RAI1	6
SARDH	6
SDR39U1	6
TRPM3	6
UNC13A	6
ABCA9	5
ALDH4A1	5
BPTF	5
CACNA1E	5
CEP85L	5
CEP89	5
COL4A1	5
CYP11B2	5
DIP2C	5
FASN	5
GFM2	5
GOT2	5
HIVEP2	5
IRF2BPL	5
LAMA2	5
MRPL39	5
MYCBP2	5
NPC1	5
PCLO	5
POLQ	5
PTPN23	5
RELN	5
RTTN	5
SELENOO	5
SPATA20	5
TSEN54	5
VPS13A	5
ZNF335	5
ADAR	4
AGXT2	4
ANK3	4
ASAH1	4
ASTN1	4
BLTP1	4
CACNA1C	4
CACNA2D1	4
CAMK2B	4
CBR3	4
CCDC88C	4
CHD5	4
COL3A1	4
COMT	4
CTSF	4
CUX2	4
DCHS1	4
DNA2	4
DROSHA	4
EARS2	4
ELAC2	4
EPHX2	4
GPAM	4
JMJD1C	4
MTHFR	4
MTIF2	4
MYG1	4
MYT1L	4
NRDC	4
PAH	4
PLCB1	4
RERE	4
SETBP1	4
SETD1B	4
SPTAN1	4
SPTBN4	4
TRIO	4
UGGT1	4
UNC79	4
VPS11	4
ABCC9	3
ACADS	3
ACO2	3
ACSM2B	3
ADCK5	3
AFG3L2	3
AGMAT	3
AKAP1	3
AKR1B10	3
ALDH1B1	3
ANKRD11	3
ANKRD17	3
ATP6V0A2	3
BCL2A1	3
CACNA1A	3
CACNA1B	3
CACNA1I	3
CAMK2A	3
CARS2	3
CENPF	3
CHCHD10	3
CHD2	3
CIC	3
CNTNAP2	3
COL18A1	3
COQ3	3
COX10	3
CTSD	3
CTU2	3
DENND5B	3
DMGDH	3
DNAJA3	3
DYRK1A	3
ECHS1	3
EMC1	3
FA2H	3
FASTKD3	3
FIG4	3
GARS1	3
GFER	3
GLI3	3
GM2A	3
GRM7	3
GSTZ1	3
GTPBP10	3
HACE1	3
HK1	3
HTT	3
IFIH1	3
ISCU	3
KCNA1	3
KCNJ11	3
KDM2B	3
KDM5A	3
KMT2B	3
L2HGDH	3
LIPT2	3
LMX1B	3
MANBA	3
MAST4	3
MCCD1	3
MECR	3
MIEF2	3
MMAB	3
MRPL45	3
MT-CYB	3
NALCN	3
NAXE	3
NBEA	3
NDUFA10	3
NDUFS4	3
NEU4	3
NTRK2	3
OPA1	3
PDHX	3
PGM2L1	3
PIDD1	3
PIK3C2B	3
PINK1	3
PLXNC1	3
POLRMT	3
POMT2	3
PRIMA1	3
PRODH2	3
PUS3	3
RSAD1	3
SACS	3
SCN1A	3
SCN3A	3
SCN8A	3
SEPTIN4	3
SF3B1	3
SFXN4	3
SLC25A23	3
SLC2A1	3
SLC30A9	3
SLC45A1	3
SMARCA2	3
SPHKAP	3
SPTBN1	3
SYNGAP1	3
TFB2M	3
TMEM177	3
TMEM70	3
TOP1MT	3
TRAK1	3
TRAPPC10	3
TRRAP	3
UNC80	3
WDR73	3
ZSWIM6	3
ABAT	2
ACADM	2
ACOT2	2
ACP6	2
ACSL1	2
ACSM1	2
ADAT3	2
ADCK1	2
ADGRG1	2
AFG2B	2
AHDC1	2
AKAP10	2
AKT1	2
ALDH9A1	2
ALKBH8	2
ALPL	2
AMACR	2
