consequence	count
intron_variant	295067
intron_variant&non_coding_transcript_variant	124687
intergenic_variant	103302
upstream_gene_variant	51754
downstream_gene_variant	45169
non_coding_transcript_exon_variant	15633
synonymous_variant	11698
missense_variant	11176
3_prime_UTR_variant	9106
5_prime_UTR_variant	2913
splice_polypyrimidine_tract_variant&intron_variant	2285
splice_region_variant&splice_polypyrimidine_tract_variant&intron_variant	1392
intron_variant&NMD_transcript_variant	1006
splice_region_variant&intron_variant	439
splice_donor_region_variant&intron_variant	358
splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	287
missense_variant&splice_region_variant	243
splice_region_variant&synonymous_variant	237
frameshift_variant	230
inframe_deletion	228
splice_region_variant&splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	204
inframe_insertion	177
splice_region_variant&non_coding_transcript_exon_variant	157
splice_donor_5th_base_variant&intron_variant	97
stop_gained	93
splice_donor_region_variant&intron_variant&non_coding_transcript_variant	81
splice_region_variant&intron_variant&non_coding_transcript_variant	45
splice_donor_variant&non_coding_transcript_variant	38
3_prime_UTR_variant&NMD_transcript_variant	30
splice_donor_variant	29
splice_acceptor_variant&non_coding_transcript_variant	28
splice_acceptor_variant	26
splice_donor_5th_base_variant&intron_variant&non_coding_transcript_variant	26
splice_region_variant&5_prime_UTR_variant	23
stop_lost	17
stop_retained_variant	13
start_lost	11
frameshift_variant&splice_region_variant	6
mature_miRNA_variant	5
frameshift_variant&stop_lost	4
splice_region_variant&3_prime_UTR_variant	4
stop_gained&frameshift_variant	4
coding_sequence_variant	3
frameshift_variant&splice_donor_region_variant	3
frameshift_variant&start_lost&start_retained_variant	3
splice_acceptor_variant&splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	3
splice_donor_variant&splice_donor_5th_base_variant&coding_sequence_variant&intron_variant	3
inframe_insertion&stop_retained_variant	2
protein_altering_variant	2
splice_acceptor_variant&splice_polypyrimidine_tract_variant&intron_variant	2
splice_donor_variant&splice_donor_5th_base_variant&non_coding_transcript_exon_variant&intron_variant	2
splice_region_variant&non_coding_transcript_variant	2
start_lost&start_retained_variant	2
stop_gained&splice_region_variant	2
frameshift_variant&start_retained_variant	1
incomplete_terminal_codon_variant&coding_sequence_variant	1
inframe_deletion&splice_region_variant	1
inframe_insertion&splice_region_variant	1
missense_variant&NMD_transcript_variant	1
splice_acceptor_variant&coding_sequence_variant&intron_variant	1
splice_acceptor_variant&frameshift_variant	1
splice_acceptor_variant&splice_donor_variant&splice_donor_5th_base_variant&splice_polypyrimidine_tract_variant&intron_variant	1
splice_donor_region_variant&synonymous_variant	1
splice_donor_variant&splice_donor_5th_base_variant&3_prime_UTR_variant&intron_variant	1
splice_donor_variant&splice_donor_5th_base_variant&intron_variant	1
splice_donor_variant&splice_donor_5th_base_variant&intron_variant&non_coding_transcript_variant	1
splice_donor_variant&splice_donor_region_variant&5_prime_UTR_variant&intron_variant	1
splice_donor_variant&splice_donor_region_variant&coding_sequence_variant&intron_variant	1
splice_donor_variant&splice_donor_region_variant&intron_variant	1
splice_donor_variant&stop_gained&frameshift_variant	1
splice_region_variant&intron_variant&NMD_transcript_variant	1
start_lost&5_prime_UTR_variant	1
start_lost&splice_region_variant	1
start_lost&start_retained_variant&5_prime_UTR_variant	1
stop_retained_variant&3_prime_UTR_variant	1
synonymous_variant&NMD_transcript_variant	1
