sample_id	run_id	assay_type	run_classification	interpretation_domain	summary_axis	consequence_label	count
ERR10619207	run_2026_06_01_124134	WES	q3	coding	frequency_class	common	23468
ERR10619207	run_2026_06_01_124134	WES	q3	coding	frequency_class	low_frequency	1335
ERR10619207	run_2026_06_01_124134	WES	q3	coding	frequency_class	missing	229
ERR10619207	run_2026_06_01_124134	WES	q3	coding	frequency_class	rare	1523
ERR10619207	run_2026_06_01_124134	WES	q3	coding	frequency_class	unknown	0
ERR10619207	run_2026_06_01_124134	WES	q3	noncoding	frequency_class	common	566833
ERR10619207	run_2026_06_01_124134	WES	q3	noncoding	frequency_class	low_frequency	25695
ERR10619207	run_2026_06_01_124134	WES	q3	noncoding	frequency_class	missing	23936
ERR10619207	run_2026_06_01_124134	WES	q3	noncoding	frequency_class	rare	35360
ERR10619207	run_2026_06_01_124134	WES	q3	noncoding	frequency_class	unknown	0
ERR10619207	run_2026_06_01_124134	WES	q3	coding	interpretation_label	coding_common_or_low_support	24892
ERR10619207	run_2026_06_01_124134	WES	q3	coding	interpretation_label	coding_uninterpretable	437
ERR10619207	run_2026_06_01_124134	WES	q3	coding	interpretation_label	lof_or_missense_rare	1225
ERR10619207	run_2026_06_01_124134	WES	q3	coding	interpretation_label	lof_rare_clinically_supported	1
ERR10619207	run_2026_06_01_124134	WES	q3	noncoding	interpretation_label	noncoding_common_or_low_support	514098
ERR10619207	run_2026_06_01_124134	WES	q3	noncoding	interpretation_label	noncoding_uninterpretable	115344
ERR10619207	run_2026_06_01_124134	WES	q3	noncoding	interpretation_label	regulatory_or_transcript_rare	22382
ERR10619207	run_2026_06_01_124134	WES	q3	noncoding	interpretation_label	regulatory_rare_supported	0
ERR10619207	run_2026_06_01_124134	WES	q3	noncoding	context	intergenic	103302
ERR10619207	run_2026_06_01_124134	WES	q3	noncoding	context	intronic	297807
ERR10619207	run_2026_06_01_124134	WES	q3	noncoding	context	proximal	96923
ERR10619207	run_2026_06_01_124134	WES	q3	noncoding	context	regulatory	0
ERR10619207	run_2026_06_01_124134	WES	q3	noncoding	context	transcript_associated	141750
ERR10619207	run_2026_06_01_124134	WES	q3	noncoding	context	unknown	12042
ERR10619207	run_2026_06_01_124134	WES	q3	coding	variant_function	loss_of_function	520
ERR10619207	run_2026_06_01_124134	WES	q3	coding	variant_function	missense	11420
ERR10619207	run_2026_06_01_124134	WES	q3	coding	variant_function	other_coding	407
ERR10619207	run_2026_06_01_124134	WES	q3	coding	variant_function	splice_relevant	2507
ERR10619207	run_2026_06_01_124134	WES	q3	coding	variant_function	synonymous	11701
ERR10619207	run_2026_06_01_124134	WES	q3	coding	variant_function	unknown	0
ERR10619207	run_2026_06_01_124134	WES	q3	coding	clinical_status	benign	6632
ERR10619207	run_2026_06_01_124134	WES	q3	coding	clinical_status	conflicting	65
ERR10619207	run_2026_06_01_124134	WES	q3	coding	clinical_status	likely_benign	766
ERR10619207	run_2026_06_01_124134	WES	q3	coding	clinical_status	likely_pathogenic	18
ERR10619207	run_2026_06_01_124134	WES	q3	coding	clinical_status	missing	18802
ERR10619207	run_2026_06_01_124134	WES	q3	coding	clinical_status	pathogenic	15
ERR10619207	run_2026_06_01_124134	WES	q3	coding	clinical_status	vus	257
ERR10619207	run_2026_06_01_124134	WES	q3	noncoding	clinical_status	benign	24753
ERR10619207	run_2026_06_01_124134	WES	q3	noncoding	clinical_status	conflicting	18
ERR10619207	run_2026_06_01_124134	WES	q3	noncoding	clinical_status	likely_benign	1295
ERR10619207	run_2026_06_01_124134	WES	q3	noncoding	clinical_status	likely_pathogenic	5
ERR10619207	run_2026_06_01_124134	WES	q3	noncoding	clinical_status	missing	625510
ERR10619207	run_2026_06_01_124134	WES	q3	noncoding	clinical_status	pathogenic	17
ERR10619207	run_2026_06_01_124134	WES	q3	noncoding	clinical_status	vus	226
