functional_impact	frequency_status	is_clinically_supported	n
synonymous	common	False	11177
missense	common	False	10365
splice_relevant	common	False	2193
synonymous	low_frequency	False	565
synonymous	rare	False	494
loss_of_function	common	False	378
other_coding	common	False	325
missense	low_frequency	False	168
splice_relevant	low_frequency	False	133
missense	rare	False	129
splice_relevant	rare	False	106
missense	missing	False	77
other_coding	rare	False	40
other_coding	low_frequency	False	35
synonymous	missing	False	31
splice_relevant	missing	False	22
missense	common	True	21
loss_of_function	missing	False	18
other_coding	missing	False	13
loss_of_function	rare	False	3
loss_of_function	common	True	1
loss_of_function	low_frequency	False	1
missense	missing	True	1
splice_relevant	rare	True	1
