clinvar_significance	count
NA	868663
benign	33737
likely_benign	833
benign&likely_benign	781
uncertain_significance	216
likely_benign&benign	137
uncertain_significance&benign	85
benign&benign/likely_benign	83
benign/likely_benign&benign	83
uncertain_significance&benign&likely_benign	73
not_provided	39
likely_benign&benign/likely_benign	38
drug_response	37
benign/likely_benign&likely_benign&benign	34
benign/likely_benign	32
likely_benign&benign&benign/likely_benign	32
benign/likely_benign&benign&likely_benign	31
benign/likely_benign&likely_benign	31
benign&likely_benign&benign/likely_benign	29
benign&uncertain_significance	29
benign&benign/likely_benign&likely_benign	28
likely_benign&benign/likely_benign&benign	26
association	25
uncertain_significance&likely_benign	24
risk_factor	21
risk_factor&benign	19
likely_benign&uncertain_significance	17
benign&risk_factor	16
not_provided&benign	16
benign&not_provided	14
benign&conflicting_classifications_of_pathogenicity	13
conflicting_classifications_of_pathogenicity&benign	12
benign&drug_response	11
benign&association	9
benign&likely_pathogenic	9
other	9
association&benign	8
benign&other	8
benign&pathogenic	8
other&benign	8
drug_response&benign	7
protective	7
pathogenic	6
likely_benign&conflicting_classifications_of_pathogenicity	5
likely_pathogenic&benign	5
pathogenic&benign	5
benign&protective	4
conflicting_classifications_of_pathogenicity&likely_benign	4
affects	3
benign&conflicting_classifications_of_pathogenicity&likely_benign	3
conflicting_classifications_of_pathogenicity&uncertain_significance	3
likely_risk_allele	3
likely_risk_allele&benign	3
not_provided&benign&likely_benign	3
benign&likely_benign&conflicting_classifications_of_pathogenicity	2
benign&uncertain_significance&likely_benign	2
benign/likely_benign&likely_benign&uncertain_significance	2
benign/likely_benign&uncertain_significance&benign	2
conflicting_classifications_of_pathogenicity	2
conflicting_classifications_of_pathogenicity&likely_benign&benign	2
conflicting_classifications_of_pathogenicity&uncertain_significance&likely_benign	2
likely_benign&uncertain_significance&benign	2
likely_pathogenic	2
pathogenic&protective&risk_factor	2
pathogenic/likely_pathogenic&pathogenic	2
protective&benign	2
uncertain_risk_allele	2
uncertain_significance&conflicting_classifications_of_pathogenicity	2
uncertain_significance&not_provided&benign&likely_benign	2
affects&benign	1
association&affects	1
association&affects&benign&other	1
association&benign&pathogenic	1
association&drug_response&risk_factor	1
association&pathogenic&protective	1
benign&affects	1
benign&association&benign/likely_benign	1
benign&benign/likely_benign&conflicting_classifications_of_pathogenicity	1
benign&benign/likely_benign&likely_benign&drug_response	1
benign&confers_sensitivity	1
benign&conflicting_classifications_of_pathogenicity&risk_factor	1
benign&drug_response&likely_benign	1
benign&drug_response&likely_benign&pathogenic	1
benign&drug_response&risk_factor&likely_benign	1
benign&likely_benign&risk_factor	1
benign&likely_benign&uncertain_significance	1
benign&likely_benign&uncertain_significance&benign/likely_benign	1
benign&likely_pathogenic&likely_risk_allele	1
benign&likely_risk_allele	1
benign&not_provided&likely_benign	1
benign&other&benign/likely_benign	1
benign&pathogenic&benign/likely_benign&likely_benign	1
