functional_impact	frequency_status	is_clinically_supported	n
synonymous	common	False	10696
missense	common	False	10066
splice_relevant	common	False	2053
synonymous	rare	False	517
synonymous	low_frequency	False	479
loss_of_function	common	False	392
other_coding	common	False	314
missense	low_frequency	False	135
splice_relevant	low_frequency	False	118
missense	rare	False	117
splice_relevant	rare	False	112
missense	missing	False	94
other_coding	rare	False	40
synonymous	missing	False	39
other_coding	low_frequency	False	29
loss_of_function	missing	False	28
missense	common	True	22
other_coding	missing	False	18
splice_relevant	missing	False	15
loss_of_function	low_frequency	False	7
missense	missing	True	3
loss_of_function	rare	False	2
synonymous	common	True	2
loss_of_function	common	True	1
