gene_symbol	n_variants
NA	14097
DUX4L19	211
DUX4L18	168
DUX4L17	148
DUX4L16	129
PABPC1P5	76
FRG2C	63
PRSS3P1	47
LINC01667	46
Y_RNA	42
ROCK1P1	35
LINC01320	34
DNM1P47	27
LINC02934	26
FRG2	25
SNHG14	24
F11-AS1	23
NRXN1-DT	23
CASC15	22
DUX4L4	22
LINC01505	22
KIR3DL2	21
LINC00595	21
LINC02055	21
DUX4L34	20
LINC01500	19
MUC16	19
FAM27C	18
KIR2DL3	18
KSR1P1	18
LINC01213	18
KIR2DP1	17
LINC01754	17
MUC6	17
MYH9-DT	17
TBC1D5	17
CTBP2P1	16
LINC02182	16
MUC3A	16
CDC27P2	15
LINC02449	15
METAZOA_SRP	15
MUC4	15
PARP4P2	15
TNRC6A	15
AKR7A3	14
CROCCP2	14
CYP4F35P	14
HULC	14
KIR2DL1	14
LINC00466	14
LINC01435	14
LINC02018	14
LINC02336	14
LINC02384	14
LINC02997	14
MIR4300HG	14
PARP3	14
PCAT1	14
TMEM174	14
ALG1L6P	13
CDC27P1	13
CNN2P6	13
KIR3DL1	13
LILRB2	13
LINC01091	13
LINC01572	13
LINC03000	13
MAP4K3-DT	13
MIR924HG	13
PRANCR	13
PRELID3BP10	13
RFLNA	13
SLC9B1P1	13
SMARCAD1-DT	13
SOX2-OT	13
SPDYE18	13
YWHAEP7	13
ADAMTS7P3	12
ADAMTS9-AS2	12
AKR7L	12
CAST	12
CCNY-AS1	12
CDRT15P10	12
DRAIC	12
LILRB1	12
LILRB3	12
LINC00907	12
LINC01546	12
LINC02196	12
LINC03142	12
MIR548BAHG	12
SGO1-AS1	12
SSX11P	12
TUBB8B	12
AADACL2-AS1	11
ANKRD36BP2	11
DDHD1-DT	11
EGLN3	11
ENPP7P7	11
H2AZ1-DT	11
IL12B-AS1	11
LINC00299	11
LINC00941	11
LINC01122	11
LINC01418	11
LINC02223	11
NPSR1-AS1	11
SDHAP1	11
SUGT1P3	11
CCDC26	10
CDC42EP3-AS1	10
DAB1	10
DUX4L20	10
EPCAM-DT	10
FAM174A-DT	10
GAL3ST2	10
GUSBP1	10
GXYLT1P2	10
HLA-H	10
HTT	10
IGKV1-16	10
IL12A-AS1	10
LINC00276	10
