gene_symbol	n_variants
DNAH14	20
PSPH	18
COL4A2	16
SYNE1	16
ASPM	13
KMT2C	11
LAMC3	11
ACSF3	10
CELSR1	10
DYNC2H1	10
MACF1	10
PIGN	10
SDHA	10
SLC25A5	10
HTT	9
PCLO	9
PDPR	9
PITRM1	9
ACACB	8
ACSM5	8
ATAD3B	8
RYR3	8
VARS2	8
COL18A1	7
CTU2	7
DCHS1	7
GABBR2	7
IRF2BPL	7
MCPH1	7
MLC1	7
RAI1	7
RHOT2	7
SACS	7
TOP1MT	7
AFG2B	6
CENPF	6
CHD5	6
CHRNA4	6
CNTNAP2	6
CYP11B2	6
DHTKD1	6
DMGDH	6
HCN2	6
HERC2	6
LYST	6
MTNAP1	6
NSD1	6
PCDH12	6
POLQ	6
SDR39U1	6
SPATA20	6
UNC79	6
ACSM2A	5
ADAR	5
ADCY10	5
AGXT2	5
ALDH1L1	5
ASTN1	5
ATP2B2	5
CACNA1I	5
CAMK2B	5
COG6	5
COL4A1	5
DIP2C	5
EARS2	5
ECHDC3	5
GALC	5
LAMA2	5
LARS2	5
MAST3	5
MAST4	5
MRPL39	5
MTCH2	5
MTFR1	5
NEU4	5
PEX6	5
PTPN23	5
RELN	5
SARDH	5
SCN10A	5
UGGT1	5
AFF3	4
AGMAT	4
AHDC1	4
AMACR	4
ASAH1	4
BLTP1	4
CACNA1E	4
CARS2	4
CASP9	4
CBR3	4
CHD4	4
CTSF	4
CUX2	4
FA2H	4
GOT2	4
GPAM	4
HCFC1	4
JMJD1C	4
KAT6A	4
KCNH1	4
KIF1A	4
KMT2D	4
LSS	4
MAST1	4
MRPS9	4
MT-CYB	4
MYG1	4
MYT1L	4
NALCN	4
PLXNA1	4
PTBP1	4
RERE	4
RNASEH2A	4
RTTN	4
SAMM50	4
SEPTIN4	4
SERHL2	4
SETD1B	4
SON	4
SPHKAP	4
SPTAN1	4
TBCD	4
TRAPPC12	4
TRIO	4
TSC1	4
TSEN54	4
TUBGCP2	4
TXNRD1	4
UNC13A	4
AARS2	3
ABAT	3
ABCA2	3
ABCC9	3
ACADM	3
ACP6	3
ACSM1	3
ACSM2B	3
ADGRG1	3
AKR1B10	3
ALDH1B1	3
ALDH4A1	3
ALDH5A1	3
ANKRD17	3
ATP6V0A2	3
BCL2A1	3
BSN	3
CA5B	3
CACNA1A	3
CAD	3
CCDC88C	3
CDK5RAP1	3
CHCHD10	3
CHPT1	3
CNTNAP1	3
COQ3	3
COQ8B	3
CREBBP	3
D2HGDH	3
DENND5B	3
DNAJA3	3
DROSHA	3
