sample_id	run_id	stage	elapsed_seconds	status	start_time	end_time
ERR10619300	run_2026_05_27_172531	stage_01_load_data	0	success	2026-05-27T17:25:31+00:00	2026-05-27T17:25:31+00:00
ERR10619300	run_2026_05_27_172531	stage_02_align_data	5966	success	2026-05-27T17:25:31+00:00	2026-05-27T19:04:57+00:00
ERR10619300	run_2026_05_27_172531	stage_03_process_bam	298	success	2026-05-27T19:04:57+00:00	2026-05-27T19:09:55+00:00
ERR10619300	run_2026_05_27_172531	stage_04_qc_aligned_reads	52	success	2026-05-27T19:09:55+00:00	2026-05-27T19:10:47+00:00
ERR10619300	run_2026_05_27_172531	stage_05_call_variants	10293	success	2026-05-27T19:10:47+00:00	2026-05-27T22:02:20+00:00
ERR10619300	run_2026_05_27_172531	stage_06_normalize_vcf	17	success	2026-05-27T22:02:20+00:00	2026-05-27T22:02:37+00:00
ERR10619300	run_2026_05_27_172531	stage_07_annotate_variants	1112	success	2026-05-27T22:02:38+00:00	2026-05-27T22:21:10+00:00
ERR10619300	run_2026_05_27_172531	stage_08_filter_and_partition	85	success	2026-05-27T22:21:13+00:00	2026-05-27T22:22:38+00:00
ERR10619300	run_2026_05_27_172531	stage_09_interpret_coding	1	success	2026-05-27T22:22:48+00:00	2026-05-27T22:22:49+00:00
ERR10619300	run_2026_05_27_172531	stage_10_interpret_noncoding	27	success	2026-05-27T22:22:50+00:00	2026-05-27T22:23:17+00:00
ERR10619300	run_2026_05_27_172531	stage_11_prioritize_variants	24	success	2026-05-27T22:24:06+00:00	2026-05-27T22:24:30+00:00
ERR10619300	run_2026_05_27_172531	stage_12_validate_variants	24	success	2026-05-27T22:24:35+00:00	2026-05-27T22:24:59+00:00
ERR10619300	run_2026_05_27_172531	stage_13_write_summary	0	success	2026-05-27T22:25:04+00:00	2026-05-27T22:25:04+00:00
