SRA	run_id	depth_category	artifact_group	artifact_name	source_path	destination_path	operation	status	rows_written	notes
ERR10619203	run_2026_05_30_071639	q3	directory	tables		docs/case_studies/cross_runs/contrasts/contrast_07_inputs/ERR10619203/tables	mkdir	ok	NA	directory ensured
ERR10619203	run_2026_05_30_071639	q3	directory	metrics		docs/case_studies/cross_runs/contrasts/contrast_07_inputs/ERR10619203/metrics	mkdir	ok	NA	directory ensured
ERR10619203	run_2026_05_30_071639	q3	table	provenance_summary.tsv	docs/case_studies/cross_runs/cross_run_tables/provenance_summary.tsv	docs/case_studies/cross_runs/contrasts/contrast_07_inputs/ERR10619203/tables/provenance_summary.tsv	subset	ok	1	subset by exact run_id
ERR10619203	run_2026_05_30_071639	q3	table	runtime_stage_summary.tsv	docs/case_studies/cross_runs/cross_run_tables/runtime_stage_summary.tsv	docs/case_studies/cross_runs/contrasts/contrast_07_inputs/ERR10619203/tables/runtime_stage_summary.tsv	subset	ok	13	subset by exact run_id
ERR10619203	run_2026_05_30_071639	q3	table	stage_funnel_summary.tsv	docs/case_studies/cross_runs/cross_run_tables/stage_funnel_summary.tsv	docs/case_studies/cross_runs/contrasts/contrast_07_inputs/ERR10619203/tables/stage_funnel_summary.tsv	subset	ok	1	subset by exact run_id
ERR10619203	run_2026_05_30_071639	q3	table	sra_run_depth_metadata.tsv	docs/case_studies/cross_runs/cross_run_tables/sra_run_depth_metadata.tsv	docs/case_studies/cross_runs/contrasts/contrast_07_inputs/ERR10619203/tables/sra_run_depth_metadata.tsv	subset	ok	1	subset by exact SRA
ERR10619203	run_2026_05_30_071639	q3	metrics_json	stage_05_variant_calling_metrics.json	results/run_2026_05_30_071639/metrics/stage_05_variant_calling_metrics.json	docs/case_studies/cross_runs/contrasts/contrast_07_inputs/ERR10619203/metrics/stage_05_variant_calling_metrics.json	copy	ok	NA	copied without renaming or content modification
ERR10619203	run_2026_05_30_071639	q3	metrics_json	stage_06_normalization_metrics.json	results/run_2026_05_30_071639/metrics/stage_06_normalization_metrics.json	docs/case_studies/cross_runs/contrasts/contrast_07_inputs/ERR10619203/metrics/stage_06_normalization_metrics.json	copy	ok	NA	copied without renaming or content modification
ERR10619203	run_2026_05_30_071639	q3	metrics_json	stage_07_annotation_metrics.json	results/run_2026_05_30_071639/metrics/stage_07_annotation_metrics.json	docs/case_studies/cross_runs/contrasts/contrast_07_inputs/ERR10619203/metrics/stage_07_annotation_metrics.json	copy	ok	NA	copied without renaming or content modification
ERR10619203	run_2026_05_30_071639	q3	metrics_json	stage_08_partition_metrics.json	results/run_2026_05_30_071639/metrics/stage_08_partition_metrics.json	docs/case_studies/cross_runs/contrasts/contrast_07_inputs/ERR10619203/metrics/stage_08_partition_metrics.json	copy	ok	NA	copied without renaming or content modification
ERR10619203	run_2026_05_30_071639	q3	metrics_json	stage_09_coding_interpretation_metrics.json	results/run_2026_05_30_071639/metrics/stage_09_coding_interpretation_metrics.json	docs/case_studies/cross_runs/contrasts/contrast_07_inputs/ERR10619203/metrics/stage_09_coding_interpretation_metrics.json	copy	ok	NA	copied without renaming or content modification
