sample_id	run_id	metric	category	count
ERR10619281	run_2026_05_14_083044	suggested_validation_method	IGV	33281
ERR10619281	run_2026_05_14_083044	suggested_validation_method	none	778273
ERR10619281	run_2026_05_14_083044	validation_priority	high	1
ERR10619281	run_2026_05_14_083044	validation_priority	low	778273
ERR10619281	run_2026_05_14_083044	validation_priority	medium	33280
ERR10619281	run_2026_05_14_083044	validation_required	False	778273
ERR10619281	run_2026_05_14_083044	validation_required	True	33281
ERR10619281	run_2026_05_14_231247	suggested_validation_method	IGV	33281
ERR10619281	run_2026_05_14_231247	suggested_validation_method	none	778273
ERR10619281	run_2026_05_14_231247	validation_priority	high	1
ERR10619281	run_2026_05_14_231247	validation_priority	low	778273
ERR10619281	run_2026_05_14_231247	validation_priority	medium	33280
ERR10619281	run_2026_05_14_231247	validation_required	False	778273
ERR10619281	run_2026_05_14_231247	validation_required	True	33281
ERR10619300	run_2026_05_14_164444	suggested_validation_method	IGV	27196
ERR10619300	run_2026_05_14_164444	suggested_validation_method	none	709272
ERR10619300	run_2026_05_14_164444	validation_priority	high	4
ERR10619300	run_2026_05_14_164444	validation_priority	low	709272
ERR10619300	run_2026_05_14_164444	validation_priority	medium	27192
ERR10619300	run_2026_05_14_164444	validation_required	False	709272
ERR10619300	run_2026_05_14_164444	validation_required	True	27196
ERR10619300	run_2026_05_15_063040	suggested_validation_method	IGV	27196
ERR10619300	run_2026_05_15_063040	suggested_validation_method	none	709272
ERR10619300	run_2026_05_15_063040	validation_priority	high	4
ERR10619300	run_2026_05_15_063040	validation_priority	low	709272
ERR10619300	run_2026_05_15_063040	validation_priority	medium	27192
ERR10619300	run_2026_05_15_063040	validation_required	False	709272
ERR10619300	run_2026_05_15_063040	validation_required	True	27196
HG002	run_2026_04_17_082417	suggested_validation_method	IGV	113363
HG002	run_2026_04_17_082417	suggested_validation_method	none	4523221
HG002	run_2026_04_17_082417	validation_priority	high	0
HG002	run_2026_04_17_082417	validation_priority	low	4523221
HG002	run_2026_04_17_082417	validation_priority	medium	113363
HG002	run_2026_04_17_082417	validation_required	False	4523221
HG002	run_2026_04_17_082417	validation_required	True	113363
HG002	run_2026_05_13_060859	suggested_validation_method	IGV	113363
HG002	run_2026_05_13_060859	suggested_validation_method	none	4523221
HG002	run_2026_05_13_060859	validation_priority	high	0
HG002	run_2026_05_13_060859	validation_priority	low	4523221
HG002	run_2026_05_13_060859	validation_priority	medium	113363
HG002	run_2026_05_13_060859	validation_required	False	4523221
HG002	run_2026_05_13_060859	validation_required	True	113363
ERR10619203	run_2026_05_30_071639	suggested_validation_method	IGV	24223
ERR10619203	run_2026_05_30_071639	suggested_validation_method	none	650370
ERR10619203	run_2026_05_30_071639	validation_priority	high	2
ERR10619203	run_2026_05_30_071639	validation_priority	low	650370
ERR10619203	run_2026_05_30_071639	validation_priority	medium	24221
ERR10619203	run_2026_05_30_071639	validation_required	False	650370
ERR10619203	run_2026_05_30_071639	validation_required	True	24223
ERR10619207	run_2026_06_01_124134	suggested_validation_method	IGV	23608
ERR10619207	run_2026_06_01_124134	suggested_validation_method	none	654771
ERR10619207	run_2026_06_01_124134	validation_priority	high	1
ERR10619207	run_2026_06_01_124134	validation_priority	low	654771
ERR10619207	run_2026_06_01_124134	validation_priority	medium	23607
ERR10619207	run_2026_06_01_124134	validation_required	False	654771
ERR10619207	run_2026_06_01_124134	validation_required	True	23608
ERR10619208	run_2026_05_30_151355	suggested_validation_method	IGV	31140
ERR10619208	run_2026_05_30_151355	suggested_validation_method	none	818259
ERR10619208	run_2026_05_30_151355	validation_priority	high	1
ERR10619208	run_2026_05_30_151355	validation_priority	low	818259
ERR10619208	run_2026_05_30_151355	validation_priority	medium	31139
ERR10619208	run_2026_05_30_151355	validation_required	False	818259
ERR10619208	run_2026_05_30_151355	validation_required	True	31140
ERR10619212	run_2026_05_30_214724	suggested_validation_method	IGV	32000
ERR10619212	run_2026_05_30_214724	suggested_validation_method	none	873517
ERR10619212	run_2026_05_30_214724	validation_priority	high	1
ERR10619212	run_2026_05_30_214724	validation_priority	low	873517
ERR10619212	run_2026_05_30_214724	validation_priority	medium	31999
ERR10619212	run_2026_05_30_214724	validation_required	False	873517
ERR10619212	run_2026_05_30_214724	validation_required	True	32000
ERR10619225	run_2026_05_31_091242	suggested_validation_method	IGV	26617
ERR10619225	run_2026_05_31_091242	suggested_validation_method	none	731018
ERR10619225	run_2026_05_31_091242	validation_priority	high	2
ERR10619225	run_2026_05_31_091242	validation_priority	low	731018
ERR10619225	run_2026_05_31_091242	validation_priority	medium	26615
ERR10619225	run_2026_05_31_091242	validation_required	False	731018
ERR10619225	run_2026_05_31_091242	validation_required	True	26617
ERR10619230	run_2026_06_01_004903	suggested_validation_method	IGV	25283
ERR10619230	run_2026_06_01_004903	suggested_validation_method	none	655771
ERR10619230	run_2026_06_01_004903	validation_priority	high	3
ERR10619230	run_2026_06_01_004903	validation_priority	low	655771
ERR10619230	run_2026_06_01_004903	validation_priority	medium	25280
ERR10619230	run_2026_06_01_004903	validation_required	False	655771
ERR10619230	run_2026_06_01_004903	validation_required	True	25283
ERR10619241	run_2026_06_02_052302	suggested_validation_method	IGV	34367
ERR10619241	run_2026_06_02_052302	suggested_validation_method	none	875331
ERR10619241	run_2026_06_02_052302	validation_priority	high	2
ERR10619241	run_2026_06_02_052302	validation_priority	low	875331
ERR10619241	run_2026_06_02_052302	validation_priority	medium	34365
ERR10619241	run_2026_06_02_052302	validation_required	False	875331
ERR10619241	run_2026_06_02_052302	validation_required	True	34367
ERR10619281	run_2026_05_27_233524	suggested_validation_method	IGV	33281
ERR10619281	run_2026_05_27_233524	suggested_validation_method	none	778273
ERR10619281	run_2026_05_27_233524	validation_priority	high	1
ERR10619281	run_2026_05_27_233524	validation_priority	low	778273
ERR10619281	run_2026_05_27_233524	validation_priority	medium	33280
ERR10619281	run_2026_05_27_233524	validation_required	False	778273
ERR10619281	run_2026_05_27_233524	validation_required	True	33281
ERR10619285	run_2026_06_02_124300	suggested_validation_method	IGV	29269
ERR10619285	run_2026_06_02_124300	suggested_validation_method	none	765790
ERR10619285	run_2026_06_02_124300	validation_priority	high	1
ERR10619285	run_2026_06_02_124300	validation_priority	low	765790
ERR10619285	run_2026_06_02_124300	validation_priority	medium	29268
ERR10619285	run_2026_06_02_124300	validation_required	False	765790
ERR10619285	run_2026_06_02_124300	validation_required	True	29269
ERR10619300	run_2026_05_27_172531	suggested_validation_method	IGV	27196
ERR10619300	run_2026_05_27_172531	suggested_validation_method	none	709272
ERR10619300	run_2026_05_27_172531	validation_priority	high	4
ERR10619300	run_2026_05_27_172531	validation_priority	low	709272
ERR10619300	run_2026_05_27_172531	validation_priority	medium	27192
ERR10619300	run_2026_05_27_172531	validation_required	False	709272
ERR10619300	run_2026_05_27_172531	validation_required	True	27196
ERR10619309	run_2026_06_02_181024	suggested_validation_method	IGV	32220
ERR10619309	run_2026_06_02_181024	suggested_validation_method	none	847181
ERR10619309	run_2026_06_02_181024	validation_priority	high	2
ERR10619309	run_2026_06_02_181024	validation_priority	low	847181
ERR10619309	run_2026_06_02_181024	validation_priority	medium	32218
ERR10619309	run_2026_06_02_181024	validation_required	False	847181
ERR10619309	run_2026_06_02_181024	validation_required	True	32220
ERR10619330	run_2026_06_01_203130	suggested_validation_method	IGV	34750
ERR10619330	run_2026_06_01_203130	suggested_validation_method	none	928676
ERR10619330	run_2026_06_01_203130	validation_priority	high	2
ERR10619330	run_2026_06_01_203130	validation_priority	low	928676
ERR10619330	run_2026_06_01_203130	validation_priority	medium	34748
ERR10619330	run_2026_06_01_203130	validation_required	False	928676
ERR10619330	run_2026_06_01_203130	validation_required	True	34750
HG002	run_2026_06_03_010030	suggested_validation_method	IGV	113363
HG002	run_2026_06_03_010030	suggested_validation_method	none	4523221
HG002	run_2026_06_03_010030	validation_priority	high	0
HG002	run_2026_06_03_010030	validation_priority	low	4523221
HG002	run_2026_06_03_010030	validation_priority	medium	113363
HG002	run_2026_06_03_010030	validation_required	False	4523221
HG002	run_2026_06_03_010030	validation_required	True	113363
