sample_id	run_id	assay_type	run_classification	clinical_evidence	clinical_status	variant_count
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	benign	benign	7243
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	conflicting	conflicting	89
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	likely_benign	likely_benign	862
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	likely_pathogenic	likely_pathogenic	19
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	missing	missing	19363
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	pathogenic	pathogenic	12
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	vus	vus	281
ERR10619281	run_2026_05_14_231247	WES	saudi_metadata_patch_rerun	benign	benign	7243
ERR10619281	run_2026_05_14_231247	WES	saudi_metadata_patch_rerun	conflicting	conflicting	89
ERR10619281	run_2026_05_14_231247	WES	saudi_metadata_patch_rerun	likely_benign	likely_benign	862
ERR10619281	run_2026_05_14_231247	WES	saudi_metadata_patch_rerun	likely_pathogenic	likely_pathogenic	19
ERR10619281	run_2026_05_14_231247	WES	saudi_metadata_patch_rerun	missing	missing	19363
ERR10619281	run_2026_05_14_231247	WES	saudi_metadata_patch_rerun	pathogenic	pathogenic	12
ERR10619281	run_2026_05_14_231247	WES	saudi_metadata_patch_rerun	vus	vus	281
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	benign	benign	6794
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	conflicting	conflicting	53
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	likely_benign	likely_benign	742
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	likely_pathogenic	likely_pathogenic	19
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	missing	missing	18558
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	pathogenic	pathogenic	19
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	vus	vus	254
ERR10619300	run_2026_05_15_063040	WES	saudi_same_patch_rerun	benign	benign	6794
ERR10619300	run_2026_05_15_063040	WES	saudi_same_patch_rerun	conflicting	conflicting	53
ERR10619300	run_2026_05_15_063040	WES	saudi_same_patch_rerun	likely_benign	likely_benign	742
ERR10619300	run_2026_05_15_063040	WES	saudi_same_patch_rerun	likely_pathogenic	likely_pathogenic	19
ERR10619300	run_2026_05_15_063040	WES	saudi_same_patch_rerun	missing	missing	18558
ERR10619300	run_2026_05_15_063040	WES	saudi_same_patch_rerun	pathogenic	pathogenic	19
ERR10619300	run_2026_05_15_063040	WES	saudi_same_patch_rerun	vus	vus	254
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	benign	benign	6712
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	conflicting	conflicting	61
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	likely_benign	likely_benign	738
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	likely_pathogenic	likely_pathogenic	13
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	missing	missing	19758
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	pathogenic	pathogenic	20
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	vus	vus	184
HG002	run_2026_05_13_060859	WGS	hg002_full_telemetry	benign	benign	6712
HG002	run_2026_05_13_060859	WGS	hg002_full_telemetry	conflicting	conflicting	61
HG002	run_2026_05_13_060859	WGS	hg002_full_telemetry	likely_benign	likely_benign	738
HG002	run_2026_05_13_060859	WGS	hg002_full_telemetry	likely_pathogenic	likely_pathogenic	13
HG002	run_2026_05_13_060859	WGS	hg002_full_telemetry	missing	missing	19758
HG002	run_2026_05_13_060859	WGS	hg002_full_telemetry	pathogenic	pathogenic	20
HG002	run_2026_05_13_060859	WGS	hg002_full_telemetry	vus	vus	184
ERR10619203	run_2026_05_30_071639	WES	q3	clinvar	benign	31474
ERR10619203	run_2026_05_30_071639	WES	q3	clinvar	conflicting	51
ERR10619203	run_2026_05_30_071639	WES	q3	clinvar	likely_benign	2001
ERR10619203	run_2026_05_30_071639	WES	q3	clinvar	likely_pathogenic	22
ERR10619203	run_2026_05_30_071639	WES	q3	clinvar	missing	640544
ERR10619203	run_2026_05_30_071639	WES	q3	clinvar	pathogenic	28
ERR10619203	run_2026_05_30_071639	WES	q3	clinvar	vus	473
ERR10619207	run_2026_06_01_124134	WES	q3	clinvar	benign	31383
ERR10619207	run_2026_06_01_124134	WES	q3	clinvar	conflicting	83
ERR10619207	run_2026_06_01_124134	WES	q3	clinvar	likely_benign	2061
ERR10619207	run_2026_06_01_124134	WES	q3	clinvar	likely_pathogenic	23
ERR10619207	run_2026_06_01_124134	WES	q3	clinvar	missing	644311
ERR10619207	run_2026_06_01_124134	WES	q3	clinvar	pathogenic	32
ERR10619207	run_2026_06_01_124134	WES	q3	clinvar	vus	486
ERR10619208	run_2026_05_30_151355	WES	median	clinvar	benign	34444
ERR10619208	run_2026_05_30_151355	WES	median	clinvar	conflicting	72
ERR10619208	run_2026_05_30_151355	WES	median	clinvar	likely_benign	2307
ERR10619208	run_2026_05_30_151355	WES	median	clinvar	likely_pathogenic	23
ERR10619208	run_2026_05_30_151355	WES	median	clinvar	missing	812015
ERR10619208	run_2026_05_30_151355	WES	median	clinvar	pathogenic	29
ERR10619208	run_2026_05_30_151355	WES	median	clinvar	vus	509
ERR10619212	run_2026_05_30_214724	WES	q1	clinvar	benign	33871
ERR10619212	run_2026_05_30_214724	WES	q1	clinvar	conflicting	72
ERR10619212	run_2026_05_30_214724	WES	q1	clinvar	likely_benign	2221
ERR10619212	run_2026_05_30_214724	WES	q1	clinvar	likely_pathogenic	23
ERR10619212	run_2026_05_30_214724	WES	q1	clinvar	missing	868814
ERR10619212	run_2026_05_30_214724	WES	q1	clinvar	pathogenic	35
ERR10619212	run_2026_05_30_214724	WES	q1	clinvar	vus	481
ERR10619225	run_2026_05_31_091242	WES	q3	clinvar	benign	33588
ERR10619225	run_2026_05_31_091242	WES	q3	clinvar	conflicting	67
ERR10619225	run_2026_05_31_091242	WES	q3	clinvar	likely_benign	2210
ERR10619225	run_2026_05_31_091242	WES	q3	clinvar	likely_pathogenic	28
ERR10619225	run_2026_05_31_091242	WES	q3	clinvar	missing	721273
ERR10619225	run_2026_05_31_091242	WES	q3	clinvar	pathogenic	30
ERR10619225	run_2026_05_31_091242	WES	q3	clinvar	vus	439
ERR10619230	run_2026_06_01_004903	WES	q3	clinvar	benign	31413
ERR10619230	run_2026_06_01_004903	WES	q3	clinvar	conflicting	63
ERR10619230	run_2026_06_01_004903	WES	q3	clinvar	likely_benign	1986
ERR10619230	run_2026_06_01_004903	WES	q3	clinvar	likely_pathogenic	21
ERR10619230	run_2026_06_01_004903	WES	q3	clinvar	missing	647058
ERR10619230	run_2026_06_01_004903	WES	q3	clinvar	pathogenic	34
ERR10619230	run_2026_06_01_004903	WES	q3	clinvar	vus	479
ERR10619241	run_2026_06_02_052302	WES	q1	clinvar	benign	32845
ERR10619241	run_2026_06_02_052302	WES	q1	clinvar	conflicting	83
ERR10619241	run_2026_06_02_052302	WES	q1	clinvar	likely_benign	2147
ERR10619241	run_2026_06_02_052302	WES	q1	clinvar	likely_pathogenic	19
ERR10619241	run_2026_06_02_052302	WES	q1	clinvar	missing	874054
ERR10619241	run_2026_06_02_052302	WES	q1	clinvar	pathogenic	36
ERR10619241	run_2026_06_02_052302	WES	q1	clinvar	vus	514
ERR10619281	run_2026_05_27_233524	WES	median	clinvar	benign	32469
ERR10619281	run_2026_05_27_233524	WES	median	clinvar	conflicting	106
ERR10619281	run_2026_05_27_233524	WES	median	clinvar	likely_benign	2275
ERR10619281	run_2026_05_27_233524	WES	median	clinvar	likely_pathogenic	26
ERR10619281	run_2026_05_27_233524	WES	median	clinvar	missing	776171
ERR10619281	run_2026_05_27_233524	WES	median	clinvar	pathogenic	25
ERR10619281	run_2026_05_27_233524	WES	median	clinvar	vus	482
ERR10619285	run_2026_06_02_124300	WES	median	clinvar	benign	31738
ERR10619285	run_2026_06_02_124300	WES	median	clinvar	conflicting	54
ERR10619285	run_2026_06_02_124300	WES	median	clinvar	likely_benign	2048
ERR10619285	run_2026_06_02_124300	WES	median	clinvar	likely_pathogenic	20
ERR10619285	run_2026_06_02_124300	WES	median	clinvar	missing	760732
ERR10619285	run_2026_06_02_124300	WES	median	clinvar	pathogenic	31
ERR10619285	run_2026_06_02_124300	WES	median	clinvar	vus	436
ERR10619300	run_2026_05_27_172531	WES	median	clinvar	benign	31199
ERR10619300	run_2026_05_27_172531	WES	median	clinvar	conflicting	74
ERR10619300	run_2026_05_27_172531	WES	median	clinvar	likely_benign	1958
ERR10619300	run_2026_05_27_172531	WES	median	clinvar	likely_pathogenic	24
ERR10619300	run_2026_05_27_172531	WES	median	clinvar	missing	702717
ERR10619300	run_2026_05_27_172531	WES	median	clinvar	pathogenic	37
ERR10619300	run_2026_05_27_172531	WES	median	clinvar	vus	459
ERR10619309	run_2026_06_02_181024	WES	q1	clinvar	benign	32706
ERR10619309	run_2026_06_02_181024	WES	q1	clinvar	conflicting	75
ERR10619309	run_2026_06_02_181024	WES	q1	clinvar	likely_benign	2137
ERR10619309	run_2026_06_02_181024	WES	q1	clinvar	likely_pathogenic	22
ERR10619309	run_2026_06_02_181024	WES	q1	clinvar	missing	843974
ERR10619309	run_2026_06_02_181024	WES	q1	clinvar	pathogenic	28
ERR10619309	run_2026_06_02_181024	WES	q1	clinvar	vus	459
ERR10619330	run_2026_06_01_203130	WES	q1	clinvar	benign	31785
ERR10619330	run_2026_06_01_203130	WES	q1	clinvar	conflicting	82
ERR10619330	run_2026_06_01_203130	WES	q1	clinvar	likely_benign	2032
ERR10619330	run_2026_06_01_203130	WES	q1	clinvar	likely_pathogenic	23
ERR10619330	run_2026_06_01_203130	WES	q1	clinvar	missing	929030
ERR10619330	run_2026_06_01_203130	WES	q1	clinvar	pathogenic	27
ERR10619330	run_2026_06_01_203130	WES	q1	clinvar	vus	447
HG002	run_2026_06_03_010030	WGS	benchmark_wgs	clinvar	benign	38317
HG002	run_2026_06_03_010030	WGS	benchmark_wgs	clinvar	conflicting	74
HG002	run_2026_06_03_010030	WGS	benchmark_wgs	clinvar	likely_benign	1809
HG002	run_2026_06_03_010030	WGS	benchmark_wgs	clinvar	likely_pathogenic	18
HG002	run_2026_06_03_010030	WGS	benchmark_wgs	clinvar	missing	4595778
HG002	run_2026_06_03_010030	WGS	benchmark_wgs	clinvar	pathogenic	48
HG002	run_2026_06_03_010030	WGS	benchmark_wgs	clinvar	vus	540
