sample_id	run_id	stage	elapsed_seconds	status	start_time	end_time
ERR10619281	run_2026_05_14_083044	stage_01_load_data	0	success	2026-05-14T08:30:44+00:00	2026-05-14T08:30:44+00:00
ERR10619281	run_2026_05_14_083044	stage_02_align_data	6290	success	2026-05-14T08:30:44+00:00	2026-05-14T10:15:34+00:00
ERR10619281	run_2026_05_14_083044	stage_03_process_bam	303	success	2026-05-14T10:15:34+00:00	2026-05-14T10:20:37+00:00
ERR10619281	run_2026_05_14_083044	stage_04_qc_aligned_reads	51	success	2026-05-14T10:20:37+00:00	2026-05-14T10:21:28+00:00
ERR10619281	run_2026_05_14_083044	stage_05_call_variants	10189	success	2026-05-14T10:21:28+00:00	2026-05-14T13:11:17+00:00
ERR10619281	run_2026_05_14_083044	stage_06_normalize_vcf	18	success	2026-05-14T13:11:17+00:00	2026-05-14T13:11:35+00:00
ERR10619281	run_2026_05_14_083044	stage_07_annotate_variants	1232	success	2026-05-14T13:11:35+00:00	2026-05-14T13:32:07+00:00
ERR10619281	run_2026_05_14_083044	stage_08_filter_and_partition	99	success	2026-05-14T13:32:07+00:00	2026-05-14T13:33:46+00:00
ERR10619281	run_2026_05_14_083044	stage_09_interpret_coding	1	success	2026-05-14T13:33:46+00:00	2026-05-14T13:33:47+00:00
ERR10619281	run_2026_05_14_083044	stage_10_interpret_noncoding	30	success	2026-05-14T13:33:47+00:00	2026-05-14T13:34:17+00:00
ERR10619281	run_2026_05_14_083044	stage_11_prioritize_variants	25	success	2026-05-14T13:34:17+00:00	2026-05-14T13:34:42+00:00
ERR10619281	run_2026_05_14_083044	stage_12_validate_variants	26	success	2026-05-14T13:34:42+00:00	2026-05-14T13:35:08+00:00
ERR10619281	run_2026_05_14_083044	stage_13_write_summary	0	success	2026-05-14T13:35:08+00:00	2026-05-14T13:35:08+00:00
ERR10619281	run_2026_05_14_231247	stage_01_load_data	0	success	2026-05-14T23:12:47+00:00	2026-05-14T23:12:47+00:00
ERR10619281	run_2026_05_14_231247	stage_02_align_data	6084	success	2026-05-14T23:12:47+00:00	2026-05-15T00:54:11+00:00
ERR10619281	run_2026_05_14_231247	stage_03_process_bam	305	success	2026-05-15T00:54:11+00:00	2026-05-15T00:59:16+00:00
ERR10619281	run_2026_05_14_231247	stage_04_qc_aligned_reads	49	success	2026-05-15T00:59:16+00:00	2026-05-15T01:00:05+00:00
ERR10619281	run_2026_05_14_231247	stage_05_call_variants	9947	success	2026-05-15T01:00:05+00:00	2026-05-15T03:45:52+00:00
