SRA	Read Count	Rank	Rank_%	Depth Category
ERR10619330	210,460,026	35 / 144	24.31%	q1
ERR10619309	205,213,734	36 / 144	25.00%	q1
ERR10619212	203,719,472	37 / 144	25.69%	q1
ERR10619241	203,618,000	38 / 144	26.39%	q1
ERR10619208	169,773,658	71 / 144	49.31%	median
ERR10619285	167,725,712	72 / 144	50.00%	median
ERR10619281	167,393,032	73 / 144	50.69%	median
ERR10619300	167,346,574	74 / 144	51.38%	median
ERR10619225	141,637,092	107 / 144	74.31%	q3
ERR10619230	141,194,746	108 / 144	75.00%	q3
ERR10619203	140,909,888	109 / 144	75.69%	q3
ERR10619207	140,409,036	110 / 144	76.39%	q3
