SRA	run_id	depth_category	vdb_ready_variant_rows	unique_variant_ids	unique_genes_in_vdb_substrate	coding_variant_rows	noncoding_variant_rows	coding_to_noncoding_ratio	rdgp_ready_gene_rows	unique_rdgp_genes	variants_per_rdgp_gene_mean	variants_per_rdgp_gene_median	rdgp_to_vdb_row_ratio	candidate_reviewability_rows	reviewable_candidate_rows	validation_required_rows	high_priority_validation_rows	reviewable_candidate_density_vs_vdb	reviewable_candidate_density_vs_rdgp	tier1_unique_genes	tier2_unique_genes	tier3_unique_genes	tier1_to_tier2_gene_ratio	tier2_to_tier3_gene_ratio	occupied_priority_tiers	gene_list_overlay_intersection_rows	unique_overlay_genes	epilepsy_overlay_genes	mito_overlay_genes	dual_epi_mito_overlay_genes	overlay_gene_density_vs_rdgp	overlay_gene_density_vs_tiered_genes	overlay_clinical_evidence_rows	overlay_frequency_profile_rows	overlay_functional_impact_rows	unique_clinical_status_values	unique_frequency_status_values	unique_functional_impact_values	overlay_evidence_modalities_present	unique_consequence_classes	unique_clinvar_significance_values	unique_frequency_bins	unique_functional_impact_classes	unique_interpretation_labels	semantic_breadth_score	source_files_present	missing_expected_files	substrate_summary_status
ERR10619203	run_2026_05_30_071639	q3	674593	674593	41179	26271	648322	0.040522	41178	41178	16.381967	6.0	0.061041	7	24223	24223	2	0.035908	0.588251	2	13198	39971	0.000152	0.330189	4	1140	1140	7	1133	0	0.027685	0.027771	1519	2172	1590	7	4	6	3	75	150	4	6	7	249	stage_08_rdgp_gene_evidence_seed.tsv|stage_08_vdb_ready_variants.tsv|stage_12_validation_candidates.tsv|stage_metrics_long.tsv		complete
ERR10619207	run_2026_06_01_124134	q3	678379	678379	41222	26555	651824	0.04074	41221	41221	16.456722	6.0	0.060764	7	23608	23608	1	0.034801	0.572718	1	12834	40047	7.8e-05	0.320473	4	1140	1140	7	1133	0	0.027656	0.027746	1531	2157	1592	7	4	6	3	76	166	4	6	7	266	stage_08_rdgp_gene_evidence_seed.tsv|stage_08_vdb_ready_variants.tsv|stage_12_validation_candidates.tsv|stage_metrics_long.tsv		complete
ERR10619208	run_2026_05_30_151355	median	849399	849399	43180	28041	821358	0.03414	43179	43179	19.671121	7.0	0.050835	7	31140	31140	1	0.036661	0.721184	1	15494	42103	6.5e-05	0.368002	4	1140	1140	7	1133	0	0.026402	0.02648	1551	2325	1624	7	4	6	3	75	153	4	6	7	252	stage_08_rdgp_gene_evidence_seed.tsv|stage_08_vdb_ready_variants.tsv|stage_12_validation_candidates.tsv|stage_metrics_long.tsv		complete
ERR10619212	run_2026_05_30_214724	q1	905517	905517	43335	27149	878368	0.030908	43334	43334	20.895742	8.0	0.047856	7	32000	32000	1	0.035339	0.73845	1	15814	42240	6.3e-05	0.374384	4	1140	1140	7	1133	0	0.026307	0.026388	1565	2333	1594	7	4	6	3	76	171	4	6	7	271	stage_08_rdgp_gene_evidence_seed.tsv|stage_08_vdb_ready_variants.tsv|stage_12_validation_candidates.tsv|stage_metrics_long.tsv		complete
ERR10619225	run_2026_05_31_091242	q3	757635	757635	42210	27820	729815	0.038119	42209	42209	17.949183	7.0	0.055712	7	26617	26617	2	0.035132	0.6306	2	14025	41181	0.000143	0.34057	4	1140	1140	7	1133	0	0.027008	0.027087	1527	2279	1627	7	4	6	3	79	175	4	6	7	278	stage_08_rdgp_gene_evidence_seed.tsv|stage_08_vdb_ready_variants.tsv|stage_12_validation_candidates.tsv|stage_metrics_long.tsv		complete
ERR10619230	run_2026_06_01_004903	q3	681054	681054	41442	26948	654106	0.041198	41441	41441	16.433908	6.0	0.060848	7	25283	25283	3	0.037123	0.610096	3	13499	40187	0.000222	0.335905	4	1140	1140	7	1133	0	0.027509	0.027606	1511	2230	1603	7	4	6	3	74	150	4	6	7	248	stage_08_rdgp_gene_evidence_seed.tsv|stage_08_vdb_ready_variants.tsv|stage_12_validation_candidates.tsv|stage_metrics_long.tsv		complete
ERR10619241	run_2026_06_02_052302	q1	909698	909698	43401	26104	883594	0.029543	43400	43400	20.9603	8.0	0.047708	7	34367	34367	2	0.037778	0.791866	2	16781	42233	0.000119	0.397343	4	1140	1140	7	1133	0	0.026267	0.026345	1531	2451	1593	7	4	6	3	79	159	4	6	7	262	stage_08_rdgp_gene_evidence_seed.tsv|stage_08_vdb_ready_variants.tsv|stage_12_validation_candidates.tsv|stage_metrics_long.tsv		complete
ERR10619281	run_2026_05_27_233524	median	811554	811554	43016	27869	783685	0.035561	43015	43015	18.866329	7.0	0.053003	7	33281	33281	1	0.041009	0.773707	1	16444	41839	6.1e-05	0.39303	4	1140	1140	7	1133	0	0.026502	0.02657	1525	2430	1638	7	4	6	3	75	152	4	6	7	251	stage_08_rdgp_gene_evidence_seed.tsv|stage_08_vdb_ready_variants.tsv|stage_12_validation_candidates.tsv|stage_metrics_long.tsv		complete
ERR10619285	run_2026_06_02_124300	median	795059	795059	42739	26922	768137	0.035048	42738	42738	18.602658	7.0	0.053755	7	29269	29269	1	0.036814	0.684847	1	14932	41566	6.7e-05	0.359236	4	1140	1140	7	1133	0	0.026674	0.026757	1530	2231	1614	7	4	6	3	70	152	4	6	7	246	stage_08_rdgp_gene_evidence_seed.tsv|stage_08_vdb_ready_variants.tsv|stage_12_validation_candidates.tsv|stage_metrics_long.tsv		complete
ERR10619300	run_2026_05_27_172531	median	736468	736468	41954	26439	710029	0.037237	41953	41953	17.554178	7.0	0.056965	7	27196	27196	4	0.036928	0.648249	4	14170	40725	0.000282	0.347944	4	1140	1140	7	1133	0	0.027173	0.027255	1524	2212	1564	7	4	6	3	72	162	4	6	7	258	stage_08_rdgp_gene_evidence_seed.tsv|stage_08_vdb_ready_variants.tsv|stage_12_validation_candidates.tsv|stage_metrics_long.tsv		complete
ERR10619309	run_2026_06_02_181024	q1	879401	879401	43430	26448	852953	0.031008	43429	43429	20.248699	7.0	0.049385	7	32220	32220	2	0.036639	0.741901	2	15934	42235	0.000126	0.37727	4	1140	1140	7	1133	0	0.02625	0.026324	1520	2324	1596	7	4	6	3	73	166	4	6	7	263	stage_08_rdgp_gene_evidence_seed.tsv|stage_08_vdb_ready_variants.tsv|stage_12_validation_candidates.tsv|stage_metrics_long.tsv		complete
ERR10619330	run_2026_06_01_203130	q1	963426	963426	44021	27131	936295	0.028977	44020	44020	21.8856	8.0	0.045691	7	34750	34750	2	0.036069	0.789414	2	16623	42951	0.00012	0.387022	4	1140	1140	7	1133	0	0.025897	0.025967	1510	2375	1606	7	4	6	3	80	173	4	6	7	277	stage_08_rdgp_gene_evidence_seed.tsv|stage_08_vdb_ready_variants.tsv|stage_12_validation_candidates.tsv|stage_metrics_long.tsv		complete
SRR12898354	run_2026_06_03_010030	hg002	4636584	4636584	50231	27486	4609098	0.005963	50230	50230	92.30523	23.0	0.010833	7	113363	113363	0	0.02445	2.256878	0	26555	49514	0.0	0.536313	3	1140	1140	7	1133	0	0.022696	0.022729	1527	2389	1612	7	4	6	3	87	176	4	6	6	285	stage_08_rdgp_gene_evidence_seed.tsv|stage_08_vdb_ready_variants.tsv|stage_12_validation_candidates.tsv|stage_metrics_long.tsv		complete
