sample_id	run_id	assay_type	run_classification	interpretation_domain	molecular_consequence	count
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	coding	loss_of_function	514
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	coding	missense	11954
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	coding	other_coding	420
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	coding	splice_relevant	2707
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	coding	synonymous	12274
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	coding	unknown	0
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	noncoding	intergenic	128568
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	noncoding	intronic	350411
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	noncoding	proximal	117915
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	noncoding	regulatory	0
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	noncoding	transcript_associated	173947
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	noncoding	unknown	12844
ERR10619281	run_2026_05_14_231247	WES	saudi_metadata_patch_rerun	coding	loss_of_function	514
ERR10619281	run_2026_05_14_231247	WES	saudi_metadata_patch_rerun	coding	missense	11954
ERR10619281	run_2026_05_14_231247	WES	saudi_metadata_patch_rerun	coding	other_coding	420
ERR10619281	run_2026_05_14_231247	WES	saudi_metadata_patch_rerun	coding	splice_relevant	2707
ERR10619281	run_2026_05_14_231247	WES	saudi_metadata_patch_rerun	coding	synonymous	12274
ERR10619281	run_2026_05_14_231247	WES	saudi_metadata_patch_rerun	coding	unknown	0
ERR10619281	run_2026_05_14_231247	WES	saudi_metadata_patch_rerun	noncoding	intergenic	128568
ERR10619281	run_2026_05_14_231247	WES	saudi_metadata_patch_rerun	noncoding	intronic	350411
ERR10619281	run_2026_05_14_231247	WES	saudi_metadata_patch_rerun	noncoding	proximal	117915
ERR10619281	run_2026_05_14_231247	WES	saudi_metadata_patch_rerun	noncoding	regulatory	0
ERR10619281	run_2026_05_14_231247	WES	saudi_metadata_patch_rerun	noncoding	transcript_associated	173947
ERR10619281	run_2026_05_14_231247	WES	saudi_metadata_patch_rerun	noncoding	unknown	12844
