figure_id	panel_id	metric	run_id	stage	value	unit	source_table	transformation_rule
F2	B	total_runtime_seconds	run_2026_05_14_164444	all	17757.0	seconds	runtime_stage_summary.tsv	sum elapsed_seconds by run_id
F2	B	total_runtime_seconds	run_2026_05_15_063040	all	17966.0	seconds	runtime_stage_summary.tsv	sum elapsed_seconds by run_id
F2	C	stage_runtime_seconds	run_2026_05_14_164444	stage_13_write_summary	0.0	seconds	runtime_stage_summary.tsv	sum elapsed_seconds by stage and run_id
F2	C	stage_runtime_seconds	run_2026_05_15_063040	stage_13_write_summary	0.0	seconds	runtime_stage_summary.tsv	sum elapsed_seconds by stage and run_id
F2	C	stage_runtime_seconds	run_2026_05_14_164444	stage_12_validate_variants	23.0	seconds	runtime_stage_summary.tsv	sum elapsed_seconds by stage and run_id
F2	C	stage_runtime_seconds	run_2026_05_15_063040	stage_12_validate_variants	23.0	seconds	runtime_stage_summary.tsv	sum elapsed_seconds by stage and run_id
F2	C	stage_runtime_seconds	run_2026_05_14_164444	stage_11_prioritize_variants	22.0	seconds	runtime_stage_summary.tsv	sum elapsed_seconds by stage and run_id
F2	C	stage_runtime_seconds	run_2026_05_15_063040	stage_11_prioritize_variants	22.0	seconds	runtime_stage_summary.tsv	sum elapsed_seconds by stage and run_id
F2	C	stage_runtime_seconds	run_2026_05_14_164444	stage_10_interpret_noncoding	26.0	seconds	runtime_stage_summary.tsv	sum elapsed_seconds by stage and run_id
F2	C	stage_runtime_seconds	run_2026_05_15_063040	stage_10_interpret_noncoding	26.0	seconds	runtime_stage_summary.tsv	sum elapsed_seconds by stage and run_id
F2	C	stage_runtime_seconds	run_2026_05_14_164444	stage_09_interpret_coding	1.0	seconds	runtime_stage_summary.tsv	sum elapsed_seconds by stage and run_id
F2	C	stage_runtime_seconds	run_2026_05_15_063040	stage_09_interpret_coding	1.0	seconds	runtime_stage_summary.tsv	sum elapsed_seconds by stage and run_id
F2	C	stage_runtime_seconds	run_2026_05_14_164444	stage_08_filter_and_partition	88.0	seconds	runtime_stage_summary.tsv	sum elapsed_seconds by stage and run_id
F2	C	stage_runtime_seconds	run_2026_05_15_063040	stage_08_filter_and_partition	93.0	seconds	runtime_stage_summary.tsv	sum elapsed_seconds by stage and run_id
F2	C	stage_runtime_seconds	run_2026_05_14_164444	stage_07_annotate_variants	1114.0	seconds	runtime_stage_summary.tsv	sum elapsed_seconds by stage and run_id
F2	C	stage_runtime_seconds	run_2026_05_15_063040	stage_07_annotate_variants	1120.0	seconds	runtime_stage_summary.tsv	sum elapsed_seconds by stage and run_id
F2	C	stage_runtime_seconds	run_2026_05_14_164444	stage_06_normalize_vcf	17.0	seconds	runtime_stage_summary.tsv	sum elapsed_seconds by stage and run_id
F2	C	stage_runtime_seconds	run_2026_05_15_063040	stage_06_normalize_vcf	17.0	seconds	runtime_stage_summary.tsv	sum elapsed_seconds by stage and run_id
F2	C	stage_runtime_seconds	run_2026_05_14_164444	stage_05_call_variants	9943.0	seconds	runtime_stage_summary.tsv	sum elapsed_seconds by stage and run_id
F2	C	stage_runtime_seconds	run_2026_05_15_063040	stage_05_call_variants	10121.0	seconds	runtime_stage_summary.tsv	sum elapsed_seconds by stage and run_id
F2	C	stage_runtime_seconds	run_2026_05_14_164444	stage_04_qc_aligned_reads	51.0	seconds	runtime_stage_summary.tsv	sum elapsed_seconds by stage and run_id
F2	C	stage_runtime_seconds	run_2026_05_15_063040	stage_04_qc_aligned_reads	54.0	seconds	runtime_stage_summary.tsv	sum elapsed_seconds by stage and run_id
F2	C	stage_runtime_seconds	run_2026_05_14_164444	stage_03_process_bam	300.0	seconds	runtime_stage_summary.tsv	sum elapsed_seconds by stage and run_id
F2	C	stage_runtime_seconds	run_2026_05_15_063040	stage_03_process_bam	311.0	seconds	runtime_stage_summary.tsv	sum elapsed_seconds by stage and run_id
F2	C	stage_runtime_seconds	run_2026_05_14_164444	stage_02_align_data	6172.0	seconds	runtime_stage_summary.tsv	sum elapsed_seconds by stage and run_id
F2	C	stage_runtime_seconds	run_2026_05_15_063040	stage_02_align_data	6178.0	seconds	runtime_stage_summary.tsv	sum elapsed_seconds by stage and run_id
F2	C	stage_runtime_seconds	run_2026_05_14_164444	stage_01_load_data	0.0	seconds	runtime_stage_summary.tsv	sum elapsed_seconds by stage and run_id
F2	C	stage_runtime_seconds	run_2026_05_15_063040	stage_01_load_data	0.0	seconds	runtime_stage_summary.tsv	sum elapsed_seconds by stage and run_id
