sample_id	run_id	assay_type	run_classification	clinical_evidence	clinical_status	variant_count
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	benign	benign	6794
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	conflicting	conflicting	53
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	likely_benign	likely_benign	742
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	likely_pathogenic	likely_pathogenic	19
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	missing	missing	18558
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	pathogenic	pathogenic	19
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	vus	vus	254
ERR10619300	run_2026_05_15_063040	WES	saudi_same_patch_rerun	benign	benign	6794
ERR10619300	run_2026_05_15_063040	WES	saudi_same_patch_rerun	conflicting	conflicting	53
ERR10619300	run_2026_05_15_063040	WES	saudi_same_patch_rerun	likely_benign	likely_benign	742
ERR10619300	run_2026_05_15_063040	WES	saudi_same_patch_rerun	likely_pathogenic	likely_pathogenic	19
ERR10619300	run_2026_05_15_063040	WES	saudi_same_patch_rerun	missing	missing	18558
ERR10619300	run_2026_05_15_063040	WES	saudi_same_patch_rerun	pathogenic	pathogenic	19
ERR10619300	run_2026_05_15_063040	WES	saudi_same_patch_rerun	vus	vus	254
