sample_id	run_id	assay_type	run_classification	interpretation_domain	summary_axis	consequence_label	count
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	coding	clinical_status	benign	6794
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	coding	clinical_status	conflicting	53
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	coding	clinical_status	likely_benign	742
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	coding	clinical_status	likely_pathogenic	19
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	coding	clinical_status	missing	18558
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	coding	clinical_status	pathogenic	19
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	coding	clinical_status	vus	254
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	coding	frequency_class	common	23460
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	coding	frequency_class	low_frequency	1351
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	coding	frequency_class	missing	224
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	coding	frequency_class	rare	1404
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	coding	frequency_class	unknown	0
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	coding	interpretation_label	coding_common_or_low_support	24855
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	coding	interpretation_label	coding_uninterpretable	432
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	coding	interpretation_label	lof_or_missense_rare	1148
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	coding	interpretation_label	lof_rare_clinically_supported	4
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	coding	variant_function	loss_of_function	467
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	coding	variant_function	missense	11375
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	coding	variant_function	other_coding	373
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	coding	variant_function	splice_relevant	2519
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	coding	variant_function	synonymous	11705
