sample_id	run_id	assay_type	run_classification	clinical_evidence	clinical_status	variant_count
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	benign	benign	6712
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	conflicting	conflicting	61
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	likely_benign	likely_benign	738
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	likely_pathogenic	likely_pathogenic	13
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	missing	missing	19758
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	pathogenic	pathogenic	20
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	vus	vus	184
HG002	run_2026_05_13_060859	WGS	hg002_full_telemetry	benign	benign	6712
HG002	run_2026_05_13_060859	WGS	hg002_full_telemetry	conflicting	conflicting	61
HG002	run_2026_05_13_060859	WGS	hg002_full_telemetry	likely_benign	likely_benign	738
HG002	run_2026_05_13_060859	WGS	hg002_full_telemetry	likely_pathogenic	likely_pathogenic	13
HG002	run_2026_05_13_060859	WGS	hg002_full_telemetry	missing	missing	19758
HG002	run_2026_05_13_060859	WGS	hg002_full_telemetry	pathogenic	pathogenic	20
HG002	run_2026_05_13_060859	WGS	hg002_full_telemetry	vus	vus	184
