functional_impact	frequency_status	is_clinically_supported	n
synonymous	common	False	10634
missense	common	False	10056
splice_relevant	common	False	2164
loss_of_function	common	False	458
synonymous	low_frequency	False	441
synonymous	rare	False	436
other_coding	common	False	316
missense	rare	False	140
missense	low_frequency	False	131
splice_relevant	rare	False	85
loss_of_function	missing	False	84
splice_relevant	low_frequency	False	75
missense	missing	False	40
other_coding	low_frequency	False	27
missense	common	True	24
synonymous	missing	False	17
other_coding	missing	False	16
other_coding	rare	False	7
splice_relevant	missing	False	7
loss_of_function	rare	False	5
synonymous	common	True	2
loss_of_function	low_frequency	False	1
missense	missing	True	1
splice_relevant	common	True	1
synonymous	low_frequency	True	1
