sample_id	run_id	stage	elapsed_seconds	status	start_time	end_time
HG002	run_2026_05_13_060859	stage_01_load_data	0.0	success	2026-05-13T06:08:59+00:00	2026-05-13T06:08:59+00:00
HG002	run_2026_05_13_060859	stage_02_align_data	31601.0	success	2026-05-13T06:08:59+00:00	2026-05-13T14:55:40+00:00
HG002	run_2026_05_13_060859	stage_03_process_bam	1062.0	success	2026-05-13T14:55:40+00:00	2026-05-13T15:13:22+00:00
HG002	run_2026_05_13_060859	stage_04_qc_aligned_reads	174.0	success	2026-05-13T15:13:22+00:00	2026-05-13T15:16:16+00:00
HG002	run_2026_05_13_060859	stage_05_call_variants	41883.0	success	2026-05-13T15:16:16+00:00	2026-05-14T02:54:19+00:00
HG002	run_2026_05_13_060859	stage_06_normalize_vcf	60.0	success	2026-05-14T02:54:19+00:00	2026-05-14T02:55:19+00:00
HG002	run_2026_05_13_060859	stage_07_annotate_variants	6091.0	success	2026-05-14T02:55:19+00:00	2026-05-14T04:36:50+00:00
HG002	run_2026_05_13_060859	stage_08_filter_and_partition	547.0	success	2026-05-14T04:36:50+00:00	2026-05-14T04:45:57+00:00
HG002	run_2026_05_13_060859	stage_09_interpret_coding	2.0	success	2026-05-14T04:45:57+00:00	2026-05-14T04:45:59+00:00
HG002	run_2026_05_13_060859	stage_10_interpret_noncoding	168.0	success	2026-05-14T04:45:59+00:00	2026-05-14T04:48:47+00:00
HG002	run_2026_05_13_060859	stage_11_prioritize_variants	142.0	success	2026-05-14T04:48:47+00:00	2026-05-14T04:51:09+00:00
HG002	run_2026_05_13_060859	stage_12_validate_variants	144.0	success	2026-05-14T04:51:09+00:00	2026-05-14T04:53:33+00:00
HG002	run_2026_05_13_060859	stage_13_write_summary	0.0	success	2026-05-14T04:53:33+00:00	2026-05-14T04:53:33+00:00
