sample_id	run_id	metric	category	count
HG002	run_2026_04_17_082417	suggested_validation_method	IGV	113363
HG002	run_2026_04_17_082417	suggested_validation_method	none	4523221
HG002	run_2026_04_17_082417	validation_priority	high	0
HG002	run_2026_04_17_082417	validation_priority	low	4523221
HG002	run_2026_04_17_082417	validation_priority	medium	113363
HG002	run_2026_04_17_082417	validation_required	False	4523221
HG002	run_2026_04_17_082417	validation_required	True	113363
HG002	run_2026_05_13_060859	suggested_validation_method	IGV	113363
HG002	run_2026_05_13_060859	suggested_validation_method	none	4523221
HG002	run_2026_05_13_060859	validation_priority	high	0
HG002	run_2026_05_13_060859	validation_priority	low	4523221
HG002	run_2026_05_13_060859	validation_priority	medium	113363
HG002	run_2026_05_13_060859	validation_required	False	4523221
HG002	run_2026_05_13_060859	validation_required	True	113363
HG002	run_2026_06_03_010030	suggested_validation_method	IGV	113363
HG002	run_2026_06_03_010030	suggested_validation_method	none	4523221
HG002	run_2026_06_03_010030	validation_priority	high	0
HG002	run_2026_06_03_010030	validation_priority	low	4523221
HG002	run_2026_06_03_010030	validation_priority	medium	113363
HG002	run_2026_06_03_010030	validation_required	False	4523221
HG002	run_2026_06_03_010030	validation_required	True	113363
