sample_id	run_id	stage	elapsed_seconds	status	start_time	end_time
HG002	run_2026_05_13_060859	stage_01_load_data	0	success	2026-05-13T06:08:59+00:00	2026-05-13T06:08:59+00:00
HG002	run_2026_05_13_060859	stage_02_align_data	31601	success	2026-05-13T06:08:59+00:00	2026-05-13T14:55:40+00:00
HG002	run_2026_05_13_060859	stage_03_process_bam	1062	success	2026-05-13T14:55:40+00:00	2026-05-13T15:13:22+00:00
HG002	run_2026_05_13_060859	stage_04_qc_aligned_reads	174	success	2026-05-13T15:13:22+00:00	2026-05-13T15:16:16+00:00
HG002	run_2026_05_13_060859	stage_05_call_variants	41883	success	2026-05-13T15:16:16+00:00	2026-05-14T02:54:19+00:00
HG002	run_2026_05_13_060859	stage_06_normalize_vcf	60	success	2026-05-14T02:54:19+00:00	2026-05-14T02:55:19+00:00
HG002	run_2026_05_13_060859	stage_07_annotate_variants	6091	success	2026-05-14T02:55:19+00:00	2026-05-14T04:36:50+00:00
HG002	run_2026_05_13_060859	stage_08_filter_and_partition	547	success	2026-05-14T04:36:50+00:00	2026-05-14T04:45:57+00:00
HG002	run_2026_05_13_060859	stage_09_interpret_coding	2	success	2026-05-14T04:45:57+00:00	2026-05-14T04:45:59+00:00
HG002	run_2026_05_13_060859	stage_10_interpret_noncoding	168	success	2026-05-14T04:45:59+00:00	2026-05-14T04:48:47+00:00
HG002	run_2026_05_13_060859	stage_11_prioritize_variants	142	success	2026-05-14T04:48:47+00:00	2026-05-14T04:51:09+00:00
HG002	run_2026_05_13_060859	stage_12_validate_variants	144	success	2026-05-14T04:51:09+00:00	2026-05-14T04:53:33+00:00
HG002	run_2026_05_13_060859	stage_13_write_summary	0	success	2026-05-14T04:53:33+00:00	2026-05-14T04:53:33+00:00
HG002	run_2026_06_03_010030	stage_01_load_data	0	success	2026-06-03T01:00:30+00:00	2026-06-03T01:00:30+00:00
HG002	run_2026_06_03_010030	stage_02_align_data	31792	success	2026-06-03T01:00:30+00:00	2026-06-03T09:50:22+00:00
HG002	run_2026_06_03_010030	stage_03_process_bam	1120	success	2026-06-03T09:50:22+00:00	2026-06-03T10:09:02+00:00
HG002	run_2026_06_03_010030	stage_04_qc_aligned_reads	190	success	2026-06-03T10:09:02+00:00	2026-06-03T10:12:12+00:00
HG002	run_2026_06_03_010030	stage_05_call_variants	43801	success	2026-06-03T10:12:12+00:00	2026-06-03T22:22:13+00:00
HG002	run_2026_06_03_010030	stage_06_normalize_vcf	60	success	2026-06-03T22:22:15+00:00	2026-06-03T22:23:15+00:00
HG002	run_2026_06_03_010030	stage_07_annotate_variants	6204	success	2026-06-03T22:23:16+00:00	2026-06-04T00:06:40+00:00
HG002	run_2026_06_03_010030	stage_08_filter_and_partition	586	success	2026-06-04T00:06:57+00:00	2026-06-04T00:16:43+00:00
HG002	run_2026_06_03_010030	stage_09_interpret_coding	1	success	2026-06-04T00:17:44+00:00	2026-06-04T00:17:45+00:00
HG002	run_2026_06_03_010030	stage_10_interpret_noncoding	179	success	2026-06-04T00:17:47+00:00	2026-06-04T00:20:46+00:00
HG002	run_2026_06_03_010030	stage_11_prioritize_variants	146	success	2026-06-04T00:25:58+00:00	2026-06-04T00:28:24+00:00
HG002	run_2026_06_03_010030	stage_12_validate_variants	151	success	2026-06-04T00:28:56+00:00	2026-06-04T00:31:27+00:00
HG002	run_2026_06_03_010030	stage_13_write_summary	0	success	2026-06-04T00:32:00+00:00	2026-06-04T00:32:00+00:00
