gene_symbol	n_variants
SLC25A5	27
DNAH14	18
COL4A2	15
SYNE1	15
CELSR1	11
KANSL1	11
RYR3	11
LARS1	10
SCN10A	10
SDHA	10
ASPM	9
DYNC2H1	9
MCPH1	9
PIGN	9
ACACB	8
COL4A1	8
ECHDC3	8
LAMA2	8
LAMC3	8
METTL4	8
PCDH12	8
PCLO	8
SON	8
CTU2	7
DHTKD1	7
GRM7	7
KMT2C	7
VARS2	7
ASAH1	6
GALC	6
KIF1A	6
MCM3AP	6
MRPL39	6
NPC1	6
PITRM1	6
POLQ	6
PTPN23	6
RELN	6
SAMM50	6
AGXT2	5
ALDH4A1	5
ALPL	5
ANK2	5
BSN	5
DNAJC6	5
GCSH	5
HCFC1	5
LSS	5
LYST	5
MACF1	5
MYT1L	5
NEU4	5
SARDH	5
SELENOO	5
SHANK3	5
SPATA20	5
SPTBN4	5
TBCD	5
UNC13A	5
UNC79	5
ZNF142	5
ADAR	4
AMACR	4
BLTP1	4
CACNA1I	4
CAMK2B	4
CARS2	4
CDK5RAP2	4
CEP89	4
CHD4	4
CHD5	4
CHRNA4	4
COL18A1	4
CPS1	4
CTSF	4
CYP11B2	4
DCHS1	4
DYNC1H1	4
EARS2	4
ECHS1	4
GLB1	4
GOT2	4
HCN2	4
HECTD1	4
HERC2	4
HTT	4
JMJD1C	4
LARS2	4
MRPS9	4
MYG1	4
NCKAP1	4
PDE2A	4
PEX6	4
POLR1A	4
RAI1	4
RAPGEF2	4
SACS	4
SDR39U1	4
SPTAN1	4
TBCK	4
TMEM177	4
TRAPPC12	4
TRIO	4
TSEN54	4
TUBA1A	4
TXNRD1	4
TXNRD2	4
UGGT1	4
VPS13A	4
WDR62	4
AARS2	3
ABCA9	3
ACCS	3
AGMAT	3
ALDH1B1	3
ANK3	3
ANKRD11	3
ASTN1	3
ATP23	3
CACNA1B	3
CACNA1G	3
CASP9	3
CC2D2A	3
CCT6A	3
CENPF	3
CHDH	3
COQ3	3
COQ8B	3
COX10	3
CPT2	3
DHRS4	3
DIP2C	3
DMGDH	3
DNAJA3	3
EHMT1	3
ELAC2	3
EMC1	3
EXOC7	3
FAM210B	3
FASN	3
FASTKD1	3
FRYL	3
GABRA5	3
GLI3	3
GM2A	3
GRIK2	3
GRIN2B	3
GRIN2D	3
HACE1	3
HECW2	3
HK1	3
IMMT	3
ISCU	3
KCNN2	3
KDM2B	3
MADD	3
MAP1B	3
MAVS	3
MCCD1	3
ME3	3
MED13L	3
MED17	3
MMAB	3
MMUT	3
MORC2	3
MTCH2	3
MTIF2	3
MTOR	3
NAGLU	3
NALCN	3
NARS2	3
NAXE	3
NDST1	3
NDUFS4	3
NRDC	3
NSD1	3
OMA1	3
OXNAD1	3
PAH	3
PDPR	3
PIDD1	3
PIF1	3
PIGK	3
PIK3C2B	3
PLXNA1	3
PLXNC1	3
PNPT1	3
POLG2	3
PPA2	3
PPP2R5C	3
PRIMA1	3
PUS3	3
RECQL4	3
RERE	3
RHOT2	3
RSAD1	3
RTTN	3
SCAF4	3
SCN1A	3
SCN8A	3
SEPTIN4	3
SETD1B	3
SF3B1	3
SLC25A48	3
SLC2A1	3
SLC30A9	3
SMARCA4	3
SPHKAP	3
STYXL1	3
SUGCT	3
SYNGAP1	3
TGIF1	3
TIAM1	3
TOP1MT	3
TRAK1	3
TRPM3	3
UNC80	3
YEATS2	3
ZSWIM6	3
ABAT	2
ABCC9	2
ACAD11	2
ACADSB	2
ACOT11	2
ACOT2	2
ACP6	2
ACSL1	2
ACSM1	2
ACSM2B	2
ADAM22	2
ADCK2	2
ADCK5	2
ADCY10	2
ADGRG1	2
AFDN	2
AFG3L2	2
AGXT	2
AK2	2
AKAP1	2
AKAP10	2
ALDH1L1	2
ALDH1L2	2
ALDH9A1	2
ALG8	2
ALKBH8	2
ANKRD17	2
