clinvar_significance	count
NA	4595435
benign	38167
likely_benign	729
benign&likely_benign	454
uncertain_significance	285
likely_benign&benign	134
uncertain_significance&benign	115
association	88
benign&benign/likely_benign	81
benign/likely_benign&benign	80
not_provided	61
drug_response	57
risk_factor	49
other	48
benign&likely_benign&benign/likely_benign	42
benign/likely_benign&likely_benign&benign	40
likely_benign&benign&benign/likely_benign	39
uncertain_significance&benign&likely_benign	39
benign/likely_benign&benign&likely_benign	37
benign/likely_benign	34
benign&uncertain_significance	32
benign&benign/likely_benign&likely_benign	31
likely_benign&benign/likely_benign&benign	31
likely_benign&benign/likely_benign	30
benign/likely_benign&likely_benign	26
risk_factor&benign	26
benign&not_provided	23
uncertain_significance&likely_benign	22
not_provided&benign	18
benign&risk_factor	17
protective	15
conflicting_classifications_of_pathogenicity&benign	11
pathogenic&benign	11
benign&drug_response	10
association&benign	9
benign&association	9
benign&conflicting_classifications_of_pathogenicity	9
benign&likely_pathogenic	9
likely_benign&uncertain_significance	9
benign&pathogenic	8
pathogenic	8
affects	7
benign&other	7
other&benign	7
conflicting_classifications_of_pathogenicity	6
drug_response&benign	6
likely_risk_allele	5
uncertain_risk_allele	5
confers_sensitivity	4
likely_pathogenic&benign	4
benign&protective	3
benign&uncertain_significance&likely_benign	3
likely_benign&benign&conflicting_classifications_of_pathogenicity	3
likely_benign&uncertain_significance&benign	3
uncertain_significance&benign&benign/likely_benign	3
uncertain_significance&likely_benign&conflicting_classifications_of_pathogenicity	3
association_not_found	2
benign&affects	2
benign&conflicting_classifications_of_pathogenicity&likely_benign	2
benign&protective&risk_factor	2
benign/likely_benign&benign&uncertain_significance	2
benign/likely_benign&likely_benign&benign&uncertain_significance	2
benign/likely_benign&uncertain_significance&benign	2
conflicting_classifications_of_pathogenicity&benign&benign/likely_benign	2
conflicting_classifications_of_pathogenicity&likely_benign	2
likely_benign&conflicting_classifications_of_pathogenicity&benign	2
likely_benign&uncertain_significance&conflicting_classifications_of_pathogenicity	2
protective&benign	2
protective&risk_factor	2
uncertain_significance&benign&pathogenic	2
uncertain_significance&conflicting_classifications_of_pathogenicity	2
uncertain_significance&conflicting_classifications_of_pathogenicity&likely_benign	2
uncertain_significance&not_provided&benign&likely_benign	2
association&drug_response&risk_factor	1
association&likely_benign&benign	1
benign&benign/likely_benign&likely_benign&association	1
benign&benign/likely_benign&likely_benign&drug_response	1
benign&benign/likely_benign&likely_benign&pathogenic	1
benign&benign/likely_benign&pathogenic	1
benign&confers_sensitivity	1
benign&confers_sensitivity&association	1
benign&conflicting_classifications_of_pathogenicity&likely_benign&uncertain_significance&benign/likely_benign	1
benign&drug_response&likely_benign&pathogenic	1
benign&drug_response&risk_factor&likely_benign	1
benign&likely_benign&affects	1
benign&likely_benign&conflicting_classifications_of_pathogenicity	1
benign&likely_benign&conflicting_classifications_of_pathogenicity&benign/likely_benign	1
benign&likely_benign&pathogenic	1
benign&likely_benign&uncertain_significance&benign/likely_benign	1
benign&not_provided&risk_factor	1
benign&pathogenic&benign/likely_benign	1
benign&pathogenic&likely_benign&benign/likely_benign	1
benign&protective&uncertain_risk_allele	1
benign&risk_factor&association	1
benign&risk_factor&not_provided	1
benign&risk_factor&pathogenic	1
benign&uncertain_significance&conflicting_classifications_of_pathogenicity&likely_benign	1
benign&uncertain_significance&pathogenic&risk_factor&likely_benign&benign/likely_benign	1
benign/likely_benign&benign&likely_pathogenic	1
benign/likely_benign&benign&uncertain_significance&conflicting_classifications_of_pathogenicity	1
benign/likely_benign&benign&uncertain_significance&conflicting_classifications_of_pathogenicity&likely_benign	1
benign/likely_benign&conflicting_classifications_of_pathogenicity&benign	1
benign/likely_benign&likely_benign&conflicting_classifications_of_pathogenicity&benign	1
benign/likely_benign&uncertain_significance	1
benign/likely_benign&uncertain_significance&benign&likely_benign	1
benign/likely_benign&uncertain_significance&conflicting_classifications_of_pathogenicity	1
conflicting_classifications_of_pathogenicity&benign&likely_benign	1
conflicting_classifications_of_pathogenicity&benign/likely_benign	1
conflicting_classifications_of_pathogenicity&likely_benign&benign	1
conflicting_classifications_of_pathogenicity&likely_pathogenic&likely_benign	1
conflicting_classifications_of_pathogenicity&likely_pathogenic&risk_factor&uncertain_significance&pathogenic	1
conflicting_classifications_of_pathogenicity&protective&benign	1
conflicting_classifications_of_pathogenicity&risk_factor&benign	1
conflicting_classifications_of_pathogenicity&uncertain_significance	1
conflicting_classifications_of_pathogenicity&uncertain_significance&benign	1
drug_response&association&benign	1
drug_response&benign&likely_benign	1
drug_response&benign&pathogenic&likely_benign	1
drug_response&likely_benign&benign	1
drug_response&other&likely_benign	1
drug_response&uncertain_significance	1
likely_benign&benign&drug_response	1
likely_benign&benign/likely_benign&benign&drug_response	1
likely_benign&benign/likely_benign&not_provided&benign	1
likely_benign&benign/likely_benign&uncertain_significance	1
likely_benign&benign/likely_benign&uncertain_significance&risk_factor&pathogenic	1
likely_benign&conflicting_classifications_of_pathogenicity	1
likely_benign&drug_response	1
likely_benign&not_provided	1
likely_benign&not_provided&benign	1
likely_benign&pathogenic&benign&uncertain_significance&risk_factor	1
likely_benign&protective&benign&benign/likely_benign	1
likely_benign&risk_factor	1
likely_benign&uncertain_significance&likely_pathogenic	1
likely_pathogenic&uncertain_significance&benign&conflicting_classifications_of_pathogenicity&pathogenic	1
likely_risk_allele&association&benign&uncertain_significance	1
likely_risk_allele&benign&conflicting_classifications_of_pathogenicity	1
not_provided&association_not_found	1
not_provided&benign&benign/likely_benign	1
not_provided&benign&likely_benign	1
not_provided&likely_benign&benign	1
not_provided&likely_benign&uncertain_significance&conflicting_classifications_of_pathogenicity	1
not_provided&pathogenic	1
not_provided&risk_factor	1
other&confers_sensitivity	1
other&protective&benign&risk_factor	1
other&risk_factor	1
pathogenic&benign/likely_benign	1
pathogenic&likely_pathogenic&benign	1
pathogenic&risk_factor	1
pathogenic&risk_factor&benign	1
pathogenic&uncertain_significance&benign	1
pathogenic/likely_pathogenic&pathogenic	1
protective&pathogenic&benign	1
protective&pathogenic&uncertain_significance&other&likely_benign&drug_response	1
risk_factor&affects&benign	1
risk_factor&benign&benign/likely_benign	1
risk_factor&benign&drug_response	1
risk_factor&benign&likely_benign	1
risk_factor&uncertain_risk_allele	1
uncertain_risk_allele&benign	1
uncertain_significance&association	1
uncertain_significance&benign&conflicting_classifications_of_pathogenicity	1
uncertain_significance&benign&likely_benign&likely_pathogenic	1
uncertain_significance&benign/likely_benign	1
