consequence	count
intron_variant	1612915
intron_variant&non_coding_transcript_variant	1194565
intergenic_variant	1107793
upstream_gene_variant	305835
downstream_gene_variant	282119
non_coding_transcript_exon_variant	48919
3_prime_UTR_variant	39307
synonymous_variant	11600
missense_variant	11321
intron_variant&NMD_transcript_variant	8531
5_prime_UTR_variant	5129
splice_polypyrimidine_tract_variant&intron_variant	2028
splice_region_variant&splice_polypyrimidine_tract_variant&intron_variant	1099
splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	922
splice_region_variant&splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	603
splice_region_variant&non_coding_transcript_exon_variant	510
splice_region_variant&intron_variant	436
splice_donor_region_variant&intron_variant	345
frameshift_variant	310
splice_donor_region_variant&intron_variant&non_coding_transcript_variant	270
splice_region_variant&synonymous_variant	259
missense_variant&splice_region_variant	249
inframe_deletion	202
3_prime_UTR_variant&NMD_transcript_variant	186
splice_region_variant&intron_variant&non_coding_transcript_variant	178
inframe_insertion	158
splice_donor_variant&non_coding_transcript_variant	148
splice_donor_5th_base_variant&intron_variant&non_coding_transcript_variant	100
stop_gained	99
splice_acceptor_variant&non_coding_transcript_variant	89
splice_donor_5th_base_variant&intron_variant	88
splice_region_variant&5_prime_UTR_variant	43
splice_acceptor_variant	27
splice_donor_variant	27
stop_lost	24
mature_miRNA_variant	17
stop_retained_variant	14
splice_region_variant&non_coding_transcript_variant	10
start_lost	10
inframe_insertion&stop_retained_variant	7
frameshift_variant&splice_region_variant	6
splice_donor_variant&splice_donor_5th_base_variant&non_coding_transcript_exon_variant&intron_variant	5
splice_region_variant&3_prime_UTR_variant	5
splice_region_variant&splice_polypyrimidine_tract_variant&intron_variant&NMD_transcript_variant	4
5_prime_UTR_variant&NMD_transcript_variant	3
coding_sequence_variant	3
frameshift_variant&splice_donor_region_variant	3
missense_variant&NMD_transcript_variant	3
splice_donor_variant&splice_donor_region_variant&intron_variant	3
stop_gained&frameshift_variant	3
stop_retained_variant&3_prime_UTR_variant	3
frameshift_variant&start_lost&start_retained_variant	2
frameshift_variant&stop_lost	2
incomplete_terminal_codon_variant&coding_sequence_variant	2
inframe_deletion&splice_region_variant	2
inframe_insertion&splice_region_variant	2
protein_altering_variant	2
splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	2
splice_acceptor_variant&splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	2
splice_donor_variant&splice_donor_5th_base_variant&coding_sequence_variant&intron_variant	2
splice_donor_variant&splice_donor_region_variant&non_coding_transcript_exon_variant&intron_variant	2
splice_polypyrimidine_tract_variant&intron_variant&NMD_transcript_variant	2
start_lost&start_retained_variant	2
stop_gained&splice_region_variant	2
stop_lost&inframe_deletion	2
transcript_ablation	2
frameshift_variant&splice_region_variant&intron_variant	1
splice_acceptor_variant&5_prime_UTR_variant	1
splice_acceptor_variant&5_prime_UTR_variant&intron_variant	1
splice_acceptor_variant&NMD_transcript_variant	1
splice_acceptor_variant&frameshift_variant	1
splice_acceptor_variant&splice_donor_5th_base_variant&non_coding_transcript_exon_variant&intron_variant	1
splice_acceptor_variant&splice_polypyrimidine_tract_variant&intron_variant	1
splice_donor_region_variant&synonymous_variant	1
splice_donor_variant&coding_sequence_variant	1
splice_donor_variant&non_coding_transcript_exon_variant	1
splice_donor_variant&splice_donor_5th_base_variant&3_prime_UTR_variant&intron_variant	1
splice_donor_variant&splice_donor_5th_base_variant&coding_sequence_variant&5_prime_UTR_variant&intron_variant	1
splice_donor_variant&splice_donor_5th_base_variant&intron_variant&non_coding_transcript_variant	1
splice_donor_variant&splice_donor_region_variant&intron_variant&non_coding_transcript_variant	1
splice_donor_variant&stop_gained&frameshift_variant	1
splice_region_variant&3_prime_UTR_variant&NMD_transcript_variant	1
splice_region_variant&intron_variant&NMD_transcript_variant	1
splice_region_variant&synonymous_variant&NMD_transcript_variant	1
start_lost&splice_region_variant	1
start_lost&start_retained_variant&5_prime_UTR_variant	1
stop_gained&inframe_insertion	1
