sample_id	run_id	assay_type	run_classification	interpretation_domain	molecular_consequence	count
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	coding	loss_of_function	789
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	coding	missense	11573
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	coding	other_coding	369
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	coding	splice_relevant	3154
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	coding	synonymous	11601
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	coding	unknown	0
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	noncoding	intergenic	1107793
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	noncoding	intronic	1615376
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	noncoding	proximal	587954
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	noncoding	regulatory	0
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	noncoding	transcript_associated	1253498
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	noncoding	unknown	44477
HG002	run_2026_05_13_060859	WGS	hg002_full_telemetry	coding	loss_of_function	789
HG002	run_2026_05_13_060859	WGS	hg002_full_telemetry	coding	missense	11573
HG002	run_2026_05_13_060859	WGS	hg002_full_telemetry	coding	other_coding	369
HG002	run_2026_05_13_060859	WGS	hg002_full_telemetry	coding	splice_relevant	3154
HG002	run_2026_05_13_060859	WGS	hg002_full_telemetry	coding	synonymous	11601
HG002	run_2026_05_13_060859	WGS	hg002_full_telemetry	coding	unknown	0
HG002	run_2026_05_13_060859	WGS	hg002_full_telemetry	noncoding	intergenic	1107793
HG002	run_2026_05_13_060859	WGS	hg002_full_telemetry	noncoding	intronic	1615376
HG002	run_2026_05_13_060859	WGS	hg002_full_telemetry	noncoding	proximal	587954
HG002	run_2026_05_13_060859	WGS	hg002_full_telemetry	noncoding	regulatory	0
HG002	run_2026_05_13_060859	WGS	hg002_full_telemetry	noncoding	transcript_associated	1253498
HG002	run_2026_05_13_060859	WGS	hg002_full_telemetry	noncoding	unknown	44477
HG002	run_2026_06_03_010030	WGS	benchmark_wgs	coding	loss_of_function	789
HG002	run_2026_06_03_010030	WGS	benchmark_wgs	coding	missense	11573
HG002	run_2026_06_03_010030	WGS	benchmark_wgs	coding	other_coding	362
HG002	run_2026_06_03_010030	WGS	benchmark_wgs	coding	splice_relevant	2894
HG002	run_2026_06_03_010030	WGS	benchmark_wgs	coding	synonymous	11868
HG002	run_2026_06_03_010030	WGS	benchmark_wgs	coding	utr_regulatory	0
HG002	run_2026_06_03_010030	WGS	benchmark_wgs	noncoding	loss_of_function	0
HG002	run_2026_06_03_010030	WGS	benchmark_wgs	noncoding	missense	0
HG002	run_2026_06_03_010030	WGS	benchmark_wgs	noncoding	other_coding	3972747
HG002	run_2026_06_03_010030	WGS	benchmark_wgs	noncoding	splice_relevant	3755
HG002	run_2026_06_03_010030	WGS	benchmark_wgs	noncoding	synonymous	17
HG002	run_2026_06_03_010030	WGS	benchmark_wgs	noncoding	utr_regulatory	632579
