sample_id	run_id	metric	category	count
ERR10619281	run_2026_05_14_083044	suggested_validation_method	IGV	33281
ERR10619281	run_2026_05_14_083044	suggested_validation_method	none	778273
ERR10619281	run_2026_05_14_083044	validation_priority	high	1
ERR10619281	run_2026_05_14_083044	validation_priority	low	778273
ERR10619281	run_2026_05_14_083044	validation_priority	medium	33280
ERR10619281	run_2026_05_14_083044	validation_required	False	778273
ERR10619281	run_2026_05_14_083044	validation_required	True	33281
ERR10619281	run_2026_05_14_231247	suggested_validation_method	IGV	33281
ERR10619281	run_2026_05_14_231247	suggested_validation_method	none	778273
ERR10619281	run_2026_05_14_231247	validation_priority	high	1
ERR10619281	run_2026_05_14_231247	validation_priority	low	778273
ERR10619281	run_2026_05_14_231247	validation_priority	medium	33280
ERR10619281	run_2026_05_14_231247	validation_required	False	778273
ERR10619281	run_2026_05_14_231247	validation_required	True	33281
ERR10619300	run_2026_05_14_164444	suggested_validation_method	IGV	27196
ERR10619300	run_2026_05_14_164444	suggested_validation_method	none	709272
ERR10619300	run_2026_05_14_164444	validation_priority	high	4
ERR10619300	run_2026_05_14_164444	validation_priority	low	709272
ERR10619300	run_2026_05_14_164444	validation_priority	medium	27192
ERR10619300	run_2026_05_14_164444	validation_required	False	709272
ERR10619300	run_2026_05_14_164444	validation_required	True	27196
ERR10619300	run_2026_05_15_063040	suggested_validation_method	IGV	27196
ERR10619300	run_2026_05_15_063040	suggested_validation_method	none	709272
ERR10619300	run_2026_05_15_063040	validation_priority	high	4
ERR10619300	run_2026_05_15_063040	validation_priority	low	709272
ERR10619300	run_2026_05_15_063040	validation_priority	medium	27192
ERR10619300	run_2026_05_15_063040	validation_required	False	709272
ERR10619300	run_2026_05_15_063040	validation_required	True	27196
HG002	run_2026_04_17_082417	suggested_validation_method	IGV	113363
HG002	run_2026_04_17_082417	suggested_validation_method	none	4523221
HG002	run_2026_04_17_082417	validation_priority	low	4523221
HG002	run_2026_04_17_082417	validation_priority	medium	113363
HG002	run_2026_04_17_082417	validation_required	False	4523221
HG002	run_2026_04_17_082417	validation_required	True	113363
HG002	run_2026_05_13_060859	suggested_validation_method	IGV	113363
HG002	run_2026_05_13_060859	suggested_validation_method	none	4523221
HG002	run_2026_05_13_060859	validation_priority	low	4523221
HG002	run_2026_05_13_060859	validation_priority	medium	113363
HG002	run_2026_05_13_060859	validation_required	False	4523221
HG002	run_2026_05_13_060859	validation_required	True	113363
