sample_id	run_id	priority_tier	count
ERR10619281	run_2026_05_14_083044	tier_1_high_confidence_candidate	1
ERR10619281	run_2026_05_14_083044	tier_2_moderate_candidate	33280
ERR10619281	run_2026_05_14_083044	tier_3_low_support_or_common	636420
ERR10619281	run_2026_05_14_083044	tier_4_uninterpretable_or_qc_limited	141853
ERR10619281	run_2026_05_14_231247	tier_1_high_confidence_candidate	1
ERR10619281	run_2026_05_14_231247	tier_2_moderate_candidate	33280
ERR10619281	run_2026_05_14_231247	tier_3_low_support_or_common	636420
ERR10619281	run_2026_05_14_231247	tier_4_uninterpretable_or_qc_limited	141853
ERR10619300	run_2026_05_14_164444	tier_1_high_confidence_candidate	4
ERR10619300	run_2026_05_14_164444	tier_2_moderate_candidate	27192
ERR10619300	run_2026_05_14_164444	tier_3_low_support_or_common	580937
ERR10619300	run_2026_05_14_164444	tier_4_uninterpretable_or_qc_limited	128335
ERR10619300	run_2026_05_15_063040	tier_1_high_confidence_candidate	4
ERR10619300	run_2026_05_15_063040	tier_2_moderate_candidate	27192
ERR10619300	run_2026_05_15_063040	tier_3_low_support_or_common	580937
ERR10619300	run_2026_05_15_063040	tier_4_uninterpretable_or_qc_limited	128335
