sample_id	run_id	assay_type	run_classification	gene_id	gene_symbol	gene_burden_rank	variant_count	overlay_source	overlay_source_count	overlay_source_list	mitocarta_hit	epi25_hit	match_key
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000100150	DEPDC5	55	59	epi25_all_epilepsy	1	epi25_all_epilepsy	False	True	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000050030	NEXMIF	667	9	epi25_all_epilepsy	1	epi25_all_epilepsy	False	True	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000103148	NPRL3	231	28	epi25_all_epilepsy	1	epi25_all_epilepsy	False	True	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000144285	SCN1A	86	51	epi25_all_epilepsy	1	epi25_all_epilepsy	False	True	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000099365	STX1B	713	8	epi25_all_epilepsy	1	epi25_all_epilepsy	False	True	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000197283	SYNGAP1	411	17	epi25_all_epilepsy	1	epi25_all_epilepsy	False	True	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000196998	WDR45	829	5	epi25_all_epilepsy	1	epi25_all_epilepsy	False	True	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000109576	AADAT	641	9	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000124608	AARS2	437	15	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000008311	AASS	348	19	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000183044	ABAT	6	147	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000154258	ABCA9	125	40	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000135776	ABCB10	349	19	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000115657	ABCB6	717	7	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000131269	ABCB7	642	9	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000197150	ABCB8	350	19	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000101986	ABCD1	960	1	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000173208	ABCD2	254	25	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000117528	ABCD3	264	24	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000144827	ABHD10	870	3	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000106077	ABHD11	871	3	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000060971	ACAA1	718	7	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000167315	ACAA2	502	13	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000275176|ENSG00000278540	ACACA	1012	0	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000076555	ACACB	20	90	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000111271	ACAD10	593	10	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000240303	ACAD11	503	13	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000151498	ACAD8	678	8	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000177646	ACAD9	197	31	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000115361	ACADL	594	10	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000117054	ACADM	222	28	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000122971	ACADS	911	2	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000196177	ACADSB	279	23	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000072778	ACADVL	595	10	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000075239	ACAT1	153	35	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000110455	ACCS	337	20	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000131473	ACLY	98	47	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000100412	ACO2	679	8	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000102794	ACOD1	758	6	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000162390	ACOT11	170	34	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000112304	ACOT13	298	22	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000119673	ACOT2	533	12	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000097021	ACOT7	60	58	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000123130	ACOT9	81	51	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000162836	ACP6	299	22	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000167107	ACSF2	318	21	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000176715	ACSF3	51	60	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000151726	ACSL1	154	35	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000164398	ACSL6	413	16	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000166743	ACSM1	466	14	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000183747	ACSM2A	438	15	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000066813	ACSM2B	265	24	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000005187	ACSM3	759	6	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000215009	ACSM4	351	19	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000183549	ACSM5	830	4	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000154930	ACSS1	376	18	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000111058	ACSS3	66	55	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000063761	ADCK1	25	86	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000133597	ADCK2	872	3	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000173137|ENSG00000285451	ADCK5	1013	0	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000143199	ADCY10	48	61	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000147576	ADHFE1	179	33	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000135537	AFG1L	42	64	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000141385	AFG3L2	242	26	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000006530|ENSG00000262327	AGK	1014	0	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000116771	AGMAT	126	40	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000026652	AGPAT4	137	37	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000155189|ENSG00000284980	AGPAT5	1015	0	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000172482	AGXT	300	22	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000113492	AGXT2	115	43	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000168710	AHCYL1	719	7	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000156709	AIFM1	414	16	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000042286	AIFM2	596	10	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000183773	AIFM3	338	20	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000004455	AK2	155	35	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000147853	AK3	111	44	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000162433	AK4	186	32	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000121057	AKAP1	504	13	mitocarta	1	mitocarta	True	False	ensembl_gene_id
