sample_id	run_id	assay_type	run_classification	gene_id	gene_symbol	overlay_source	overlay_source_count	overlay_source_list	mitocarta_hit	epi25_hit	match_key	functional_impact	variant_count
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	ENSG00000002549	LAP3	mitocarta	1	mitocarta	True	False	ensembl_gene_id	synonymous	1
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	ENSG00000004455	AK2	mitocarta	1	mitocarta	True	False	ensembl_gene_id	missense	1
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	ENSG00000004455	AK2	mitocarta	1	mitocarta	True	False	ensembl_gene_id	synonymous	2
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	ENSG00000004799	PDK4	mitocarta	1	mitocarta	True	False	ensembl_gene_id	synonymous	1
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	ENSG00000005022	SLC25A5	mitocarta	1	mitocarta	True	False	ensembl_gene_id	loss_of_function	2
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	ENSG00000005022	SLC25A5	mitocarta	1	mitocarta	True	False	ensembl_gene_id	missense	12
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	ENSG00000005022	SLC25A5	mitocarta	1	mitocarta	True	False	ensembl_gene_id	synonymous	13
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	ENSG00000005059	MCUB	mitocarta	1	mitocarta	True	False	ensembl_gene_id	missense	1
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	ENSG00000005156	LIG3	mitocarta	1	mitocarta	True	False	ensembl_gene_id	synonymous	1
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	ENSG00000005882	PDK2	mitocarta	1	mitocarta	True	False	ensembl_gene_id	synonymous	1
