sample_id	run_id	assay_type	run_classification	gene_id	gene_symbol	gene_burden_rank	variant_count	overlay_source	overlay_source_count	overlay_source_list	mitocarta_hit	epi25_hit	match_key
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	ENSG00000100150	DEPDC5	121	142	epi25_all_epilepsy	1	epi25_all_epilepsy	False	True	ensembl_gene_id
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	ENSG00000050030	NEXMIF	114	147	epi25_all_epilepsy	1	epi25_all_epilepsy	False	True	ensembl_gene_id
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	ENSG00000103148	NPRL3	240	77	epi25_all_epilepsy	1	epi25_all_epilepsy	False	True	ensembl_gene_id
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	ENSG00000144285	SCN1A	40	288	epi25_all_epilepsy	1	epi25_all_epilepsy	False	True	ensembl_gene_id
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	ENSG00000099365	STX1B	691	19	epi25_all_epilepsy	1	epi25_all_epilepsy	False	True	ensembl_gene_id
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	ENSG00000197283	SYNGAP1	615	25	epi25_all_epilepsy	1	epi25_all_epilepsy	False	True	ensembl_gene_id
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	ENSG00000196998	WDR45	600	26	epi25_all_epilepsy	1	epi25_all_epilepsy	False	True	ensembl_gene_id
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	ENSG00000109576	AADAT	822	9	mitocarta	1	mitocarta	True	False	ensembl_gene_id
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	ENSG00000124608	AARS2	562	28	mitocarta	1	mitocarta	True	False	ensembl_gene_id
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	ENSG00000008311	AASS	333	57	mitocarta	1	mitocarta	True	False	ensembl_gene_id
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	ENSG00000183044	ABAT	20	422	mitocarta	1	mitocarta	True	False	ensembl_gene_id
