sample_id	run_id	assay_type	run_classification	gene_id	gene_symbol	gene_burden_rank	variant_count	overlay_source	overlay_source_count	overlay_source_list	mitocarta_hit	epi25_hit	match_key
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000103148	NPRL3	5453	30	epi25_all_epilepsy	1	epi25_all_epilepsy	False	True	ensembl_gene_id
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000100150	DEPDC5	9225	19	epi25_all_epilepsy	1	epi25_all_epilepsy	False	True	ensembl_gene_id
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000144285	SCN1A	9862	18	epi25_all_epilepsy	1	epi25_all_epilepsy	False	True	ensembl_gene_id
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000197283	SYNGAP1	14102	12	epi25_all_epilepsy	1	epi25_all_epilepsy	False	True	ensembl_gene_id
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000196998	WDR45	16125	10	epi25_all_epilepsy	1	epi25_all_epilepsy	False	True	ensembl_gene_id
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000099365	STX1B	23227	5	epi25_all_epilepsy	1	epi25_all_epilepsy	False	True	ensembl_gene_id
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000050030	NEXMIF	28187	3	epi25_all_epilepsy	1	epi25_all_epilepsy	False	True	ensembl_gene_id
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000185345	PRKN	9	366	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000189283	FHIT	20	319	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000183044	ABAT	191	153	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000198431	TXNRD1	365	121	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000120254	MTHFD1L	413	114	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000125246	CLYBL	414	114	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000087470	DNM1L	433	112	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000175600	SUGCT	491	107	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000183032	SLC25A21	515	105	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000134278	SPIRE1	563	101	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000178445	GLDC	635	97	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000175198	PCCA	716	92	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000186642	PDE2A	717	92	mitocarta	1	mitocarta	True	False	ensembl_gene_id
