gene_id	gene_symbol	synonyms	ensembl_gene_id 	uniprot	hg19_chromosome
1537	CYC1	MC3DN6|UQCR4	ENSG00000179091	P08574	chr8
6390	SDHB	CWS2|IP|PGL4|SDH|SDH1|SDH2|SDHIP	ENSG00000117118	P21912	chr1
10229	COQ7	CAT5|CLK-1|CLK1|COQ10D8	ENSG00000167186	Q99807	chr16
6389	SDHA	CMD1GG|FP|PGL5|SDH1|SDH2|SDHF	ENSG00000073578	P31040	chr5
7384	UQCRC1	D3S3191|QCR1|UQCR1	ENSG00000010256	P31930	chr3
84274	COQ5	-	ENSG00000110871	Q5HYK3	chr12
5160	PDHA1	PDHA|PDHAD|PDHCE1A|PHE1A	ENSG00000131828	P08559	chrX
57017	COQ9	C16orf49|COQ10D5	ENSG00000088682	O75208	chr16
6182	MRPL12	5c5-2|L12mt|MRP-L31/34|MRPL7|MRPL7/L12|RPML12	ENSG00000262814	P52815	chr17
513	ATP5F1D	ATP5D|MC5DN5	ENSG00000099624	P30049	chr19
9377	COX5A	COX|COX-VA|VA	ENSG00000178741	P20674	chr15
122961	ISCA2	HBLD1|ISA2|MMDS4|c14_5557	ENSG00000165898	Q86U28	chr14
9512	PMPCB	Beta-MPP|MPP11|MPPB|MPPP52|P-52	ENSG00000105819	O75439	chr7
7386	UQCRFS1	MC3DN10|RIP1|RIS1|RISP|UQCR5	ENSG00000169021	P47985	chr19
498	ATP5F1A	ATP5A|ATP5A1|ATP5AL2|ATPM|COXPD22|HEL-S-123m|MC5DN4|MOM2|OMR|ORM|hATP1	ENSG00000152234	P25705	chr18
4967	OGDH	AKGDH|E1k|KGD1|OGDC|OGDH2	ENSG00000105953	Q02218	chr7
5162	PDHB	PDHBD|PDHE1-B|PDHE1B|PHE1B	ENSG00000168291	P11177	chr3
7385	UQCRC2	MC3DN5|QCR2|UQCR2	ENSG00000140740	P22695	chr16
6392	SDHD	CBT1|CII-4|CWS3|PGL|PGL1|QPs3|SDH4|cybS	ENSG00000204370	O14521	chr11
60488	MRPS35	HDCMD11P|MDS023|MRP-S28|MRPS28	ENSG00000061794	P82673	chr12
27089	UQCRQ	MC3DN4|QCR8|QP-C|QPC|UQCR7	ENSG00000164405	O14949	chr5
116540	MRPL53	L53MT	ENSG00000204822	Q96EL3	chr2
1629	DBT	BCATE2|BCKAD-E2|BCKADE2|BCKDH-E2|BCOADC-E2|E2|E2B	ENSG00000137992	P11182	chr1
5166	PDK4	-	ENSG00000004799	Q16654	chr7
4191	MDH2	EIEE51|M-MDH|MDH|MGC:3559|MOR1	ENSG00000146701	P40926	chr7
23107	MRPS27	MRP-S27|S27mt	ENSG00000113048	Q92552	chr5
1431	CS	-	ENSG00000062485	O75390	chr12
80273	GRPEL1	GrpE|HMGE|mt-GrpE#1	ENSG00000109519	Q9HAV7	chr4
1737	DLAT	DLTA|E2|PBC|PDC-E2|PDCE2	ENSG00000150768	P10515	chr11
10128	LRPPRC	CLONE-23970|GP130|LRP130|LSFC	ENSG00000138095	P42704	chr2
1743	DLST	DLTS|KGD2|PGL7	ENSG00000119689	P36957	chr14
8050	PDHX	DLDBP|E3BP|OPDX|PDHXD|PDX1|proX	ENSG00000110435	O00330	chr11
